Station,TotalDatos,Estado_0PSO,Estado_0PAT,Estado_0PER,Estado_0P,Per_0PSO,Per_0PAT,Per_0PER,Per_0P
11030010,42068,214,1636,159,2009,0.51,3.89,0.38,4.78
11035030,19392,29,123,35,187,0.15,0.63,0.18,0.96
11045010,44126,94,288,0,382,0.21,0.65,0.0,0.87
11050020,20954,33,120,45,198,0.16,0.57,0.21,0.94
11080010,34517,140,183,1196,1519,0.41,0.53,3.46,4.4
11105020,45797,216,580,10954,11750,0.47,1.27,23.92,25.66
11115020,30509,57,804,0,861,0.19,2.64,0.0,2.82
11120040,11005,51,97,1017,1165,0.46,0.88,9.24,10.59
11135030,49415,384,987,11797,13168,0.78,2.0,23.87,26.65
11155030,1060,99,91,0,190,9.34,8.58,0.0,17.92
11159010,72136,994,1577,8732,11303,1.38,2.19,12.1,15.67
11175000,35759,109,224,2,335,0.3,0.63,0.01,0.94
12015060,46785,78,260,0,338,0.17,0.56,0.0,0.72
12015100,75632,4200,6327,4093,14620,5.55,8.37,5.41,19.33
12015110,83270,613,2040,6572,9225,0.74,2.45,7.89,11.08
12025040,34471,116,177,1337,1630,0.34,0.51,3.88,4.73
12045020,32620,36,201,200,437,0.11,0.62,0.61,1.34
13035501,71153,652,1093,1056,2801,0.92,1.54,1.48,3.94
13055040,89551,798,19404,6721,26923,0.89,21.67,7.51,30.06
13085030,19038,3,179,31,213,0.02,0.94,0.16,1.12
13085050,42922,2528,2515,66,5109,5.89,5.86,0.15,11.9
13095010,78548,903,595,12367,13865,1.15,0.76,15.74,17.65
14015010,42794,136,360,293,789,0.32,0.84,0.68,1.84
14015020,40548,63,314,616,993,0.16,0.77,1.52,2.45
14015080,32944,290,602,629,1521,0.88,1.83,1.91,4.62
14017001,52756,283,7158,13809,21250,0.54,13.57,26.18,40.28
15015050,1690,41,16,42,99,2.43,0.95,2.49,5.86
15015060,46976,26,334,0,360,0.06,0.71,0.0,0.77
15015100,24201,77,253,427,757,0.32,1.05,1.76,3.13
15015120,109045,740,2334,30763,33837,0.68,2.14,28.21,31.03
15035020,15469,38,299,389,726,0.25,1.93,2.51,4.69
15065180,76761,593,4525,383,5501,0.77,5.89,0.5,7.17
15065501,41899,442,555,138,1135,1.05,1.32,0.33,2.71
15075501,47879,2725,895,309,3929,5.69,1.87,0.65,8.21
15079010,1279,18,125,0,143,1.41,9.77,0.0,11.18
15085030,32618,77,384,0,461,0.24,1.18,0.0,1.41
15085050,90552,3077,1860,6085,11022,3.4,2.05,6.72,12.17
16015110,115840,685,1805,51440,53930,0.59,1.56,44.41,46.56
16015501,69743,401,1801,37,2239,0.57,2.58,0.05,3.21
16025040,47227,12,446,1,459,0.03,0.94,0.0,0.97
16035010,13032,102,116,0,218,0.78,0.89,0.0,1.67
16035030,26069,1838,689,0,2527,7.05,2.64,0.0,9.69
16040050,46625,19,651,0,670,0.04,1.4,0.0,1.44
16055120,77794,291,1466,1970,3727,0.37,1.88,2.53,4.79
17015010,66075,1512,1703,20014,23229,2.29,2.58,30.29,35.16
17017001,34176,414,2724,5928,9066,1.21,7.97,17.35,26.53
17025020,20133,48,755,796,1599,0.24,3.75,3.95,7.94
17035010,38023,0,16,37231,37247,0.0,0.04,97.92,97.96
21015030,23895,524,129,0,653,2.19,0.54,0.0,2.73
21015050,94293,952,735,3318,5005,1.01,0.78,3.52,5.31
21015070,121176,333,1379,52066,53778,0.27,1.14,42.97,44.38
21025030,8146,7,2458,5331,7796,0.09,30.17,65.44,95.7
21035040,11805,38,46,0,84,0.32,0.39,0.0,0.71
21045010,131,18,0,0,18,13.74,0.0,0.0,13.74
21050060,10964,45,74,0,119,0.41,0.67,0.0,1.09
21050090,46156,59,116,0,175,0.13,0.25,0.0,0.38
21055020,959,3,6,0,9,0.31,0.63,0.0,0.94
21065040,11708,24,24,1,49,0.2,0.2,0.01,0.42
