Station,TotalDatos,Estado_0PSO,Estado_0PAT,Estado_0PER,Estado_0P,Per_0PSO,Per_0PAT,Per_0PER,Per_0P
11025501,534143,296078,313,10836,307227,55.43,0.06,2.03,57.52
11030010,42070,2359,93,8524,10976,5.61,0.22,20.26,26.09
11035030,19751,1059,52,5284,6395,5.36,0.26,26.75,32.38
11045010,44114,3562,132,3014,6708,8.07,0.3,6.83,15.21
11050020,20954,1105,23,3099,4227,5.27,0.11,14.79,20.17
11080010,34518,2678,24,3275,5977,7.76,0.07,9.49,17.32
11105020,46337,869,12088,18495,31452,1.88,26.09,39.91,67.88
11115020,26890,1882,58,426,2366,7.0,0.22,1.58,8.8
11115501,103586,57106,2,1020,58128,55.13,0.0,0.98,56.12
11120040,11005,738,10,3359,4107,6.71,0.09,30.52,37.32
11135030,12500,1566,15,68,1649,12.53,0.12,0.54,13.19
11155030,1064,98,203,578,879,9.21,19.08,54.32,82.61
11159010,72188,8309,3154,8573,20036,11.51,4.37,11.88,27.76
11175000,36106,1045,3878,19815,24738,2.89,10.74,54.88,68.51
12015060,46872,3702,341,1071,5114,7.9,0.73,2.28,10.91
12015100,79895,0,17838,24426,42264,0.0,22.33,30.57,52.9
12015110,83729,6284,6003,20425,32712,7.51,7.17,24.39,39.07
12025040,26583,1690,338,7882,9910,6.36,1.27,29.65,37.28
12045020,34571,3558,17,170,3745,10.29,0.05,0.49,10.83
13035501,67972,6806,6455,12039,25300,10.01,9.5,17.71,37.22
13055040,87722,6989,2082,12717,21788,7.97,2.37,14.5,24.84
13085030,19038,1622,9,37,1668,8.52,0.05,0.19,8.76
13085050,43032,0,37,3630,3667,0.0,0.09,8.44,8.52
13095010,73406,4859,80,29874,34813,6.62,0.11,40.7,47.43
14015010,43392,3426,509,6822,10757,7.9,1.17,15.72,24.79
14015020,40584,2675,46,217,2938,6.59,0.11,0.53,7.24
14015080,34039,2794,47,505,3346,8.21,0.14,1.48,9.83
14017001,54022,9992,381,966,11339,18.5,0.71,1.79,20.99
15015050,1802,91,7,0,98,5.05,0.39,0.0,5.44
15015060,45596,4938,877,5419,11234,10.83,1.92,11.88,24.64
15015100,24546,3052,813,10134,13999,12.43,3.31,41.29,57.03
15015120,105464,8973,1103,967,11043,8.51,1.05,0.92,10.47
15035020,12883,668,20,789,1477,5.19,0.16,6.12,11.46
15065040,76934,3934,519,10057,14510,5.11,0.67,13.07,18.86
15065180,72774,8880,1699,232,10811,12.2,2.33,0.32,14.86
15065190,61800,6148,882,8189,15219,9.95,1.43,13.25,24.63
15065501,41980,3398,59,2028,5485,8.09,0.14,4.83,13.07
15075150,82020,8469,224,327,9020,10.33,0.27,0.4,11.0
15075501,45289,5613,145,48,5806,12.39,0.32,0.11,12.82
15079010,1279,78,2,0,80,6.1,0.16,0.0,6.25
15085030,33128,2435,8,295,2738,7.35,0.02,0.89,8.26
15085050,81977,8658,5752,16289,30699,10.56,7.02,19.87,37.45
16015110,116771,10481,164,88,10733,8.98,0.14,0.08,9.19
16015120,75755,5867,240,497,6604,7.74,0.32,0.66,8.72
16015130,102852,8070,530,1263,9863,7.85,0.52,1.23,9.59
16015501,62538,4992,313,1242,6547,7.98,0.5,1.99,10.47
16015502,633891,327147,30,99557,426734,51.61,0.0,15.71,67.32
16025040,47225,2858,34,35,2927,6.05,0.07,0.07,6.2
16025501,486614,238822,103,123497,362422,49.08,0.02,25.38,74.48
16025502,91198,45097,25,14105,59227,49.45,0.03,15.47,64.94
16025503,550372,276973,105,97356,374434,50.32,0.02,17.69,68.03
16035010,13010,1070,655,4116,5841,8.22,5.03,31.64,44.9
16035030,26062,5209,25,139,5373,19.99,0.1,0.53,20.62
16035501,105488,48446,46,23244,71736,45.93,0.04,22.03,68.0
16040050,46557,2211,30,213,2454,4.75,0.06,0.46,5.27
16055120,76610,3309,11602,37562,52473,4.32,15.14,49.03,68.49
16055501,563139,299941,312,128397,428650,53.26,0.06,22.8,76.12
17015010,73230,10183,353,1693,12229,13.91,0.48,2.31,16.7
17017001,34466,6186,509,6850,13545,17.95,1.48,19.87,39.3
17025020,20489,2016,79,625,2720,9.84,0.39,3.05,13.28
17035010,39003,18523,767,19017,38307,47.49,1.97,48.76,98.22
21015030,21404,1104,6,5836,6946,5.16,0.03,27.27,32.45
21015040,106715,8799,140,3808,12747,8.25,0.13,3.57,11.94
21015050,88755,7214,909,7126,15249,8.13,1.02,8.03,17.18
21015060,105694,11103,247,4426,15776,10.5,0.23,4.19,14.93
21015070,121240,8733,461,7117,16311,7.2,0.38,5.87,13.45
21015501,234392,132339,12,2101,134452,56.46,0.01,0.9,57.36
21015502,629126,345279,154,18884,364317,54.88,0.02,3.0,57.91
21025030,8349,766,20,11,797,9.17,0.24,0.13,9.55
21035040,12206,709,11,2,722,5.81,0.09,0.02,5.92
21035501,208328,139614,34,0,139648,67.02,0.02,0.0,67.03
21045010,131,65,0,0,65,49.62,0.0,0.0,49.62
21045501,495046,268841,80,26151,295072,54.31,0.02,5.28,59.6
21050060,11721,896,9,31,936,7.64,0.08,0.26,7.99
21050090,45896,2792,35,422,3249,6.08,0.08,0.92,7.08
21055020,959,216,105,0,321,22.52,10.95,0.0,33.47
21055070,101985,11269,186,160,11615,11.05,0.18,0.16,11.39
21055501,641374,355402,99,7359,362860,55.41,0.02,1.15,56.58
21065040,12155,686,14,25,725,5.64,0.12,0.21,5.96
21065501,496365,275204,58,2678,277940,55.44,0.01,0.54,56.0
21085030,905,235,106,0,341,25.97,11.71,0.0,37.68
21085501,215053,120857,46,47,120950,56.2,0.02,0.02,56.24
21095010,354,24,1,0,25,6.78,0.28,0.0,7.06
21105030,34397,1968,264,515,2747,5.72,0.77,1.5,7.99
21105040,11911,560,39,18,617,4.7,0.33,0.15,5.18
21105050,11979,632,27,5,664,5.28,0.23,0.04,5.54
21105501,97389,64286,66,3,64355,66.01,0.07,0.0,66.08
21115010,30273,1825,37,20,1882,6.03,0.12,0.07,6.22
21115100,151,19,3,0,22,12.58,1.99,0.0,14.57
21115170,108318,16363,2883,7702,26948,15.11,2.66,7.11,24.88
21115180,90777,5172,4985,12982,23139,5.7,5.49,14.3,25.49
21115501,569781,301614,11607,11916,325137,52.94,2.04,2.09,57.06
21125010,12170,702,13,10,725,5.77,0.11,0.08,5.96
