Station;minimo;maximo;media;mediana;desvest;varianza
11025501;0.5244461;208.4842;83.846816;88.21177;12.40829514;153.9657883
11030010;45;100;94.23874326;100;10.15903451;103.2059823
11035030;-126975;126977;95.77168022;100;3495.273483;12216936.72
11045010;25;100;89.05372444;97;14.4684529;209.3361293
11050020;30;100;93.61095734;100;9.93914698;98.78664269
11080010;48;37838;93.44159569;99;203.4424407;41388.82666
11105020;-24576;74970;-78.84235061;1;1462.614381;2139240.827
11115020;9;100;85.42138341;92;15.67813118;245.8037973
11115501;25.44847;100.0684;83.52623986;90;14.60100409;213.1893204
11120040;47;324;152.33194;96;98.79585837;9760.621631
11135030;-32256;358;75.48234687;86;135.6474387;18400.22762
11155030;0;100;30.34680451;0;41.91191575;1756.608682
11159010;0;32779;84.55278717;86;316.0175509;99867.09246
11175000;0;100;32.36438194;1;43.09798505;1857.436315
12015060;0;100;82.64219577;86;15.7280785;247.3724534
12015100;-16959;32778;-538.4610551;11;3102.808556;9627420.934
12015110;0;1792;62.23875838;81;40.25466004;1620.437655
12025040;0;100;57.85708912;77;39.5498522;1564.190809
12045020;40;100;84.88915565;85;10.23283078;104.7108257
13035501;1;100;78.50049732;94;30.63738679;938.649469
13055040;-31079;32779;635.4778277;83;3105.699528;9645369.556
13085030;47;100;86.40944427;87;9.141557403;83.56807175
13085050;-92996;125934;92.1999907;88;1057.878079;1119106.03
13095010;0;390;163.3076043;94;97.06341517;9421.306564
14015010;0;100;76.13769641;85;27.30003455;745.2918864
14015020;0;100;81.05645082;82;10.81930591;117.0573805
14015080;7;188;83.1735636;84;9.577258407;91.7238786
14017001;0;20758;86.42641887;86;89.22373674;7960.875197
15015050;37;97;73.98890122;75;10.75061245;115.575668
15015060;0;100;93.11976928;99;11.13083123;123.8954039
15015100;7;999;337.8375204;100;399.6833778;159746.8025
15015120;0;8261;68.39319578;68;31.79348014;1010.825379
15035020;0;100;79.52961267;84;23.11135813;534.1348745
15065040;-1229;6520;72.47613539;75;35.64394828;1270.491049
15065180;0;100;69.42792805;69;14.54309086;211.5014918
15065190;-356;15153;122.8290454;80;281.3162269;79138.81954
15065501;0;100;78.60152454;80;18.29836952;334.8303271
15075150;-4018;32779;68.9385028;68;199.3185877;39727.89939
15075501;0;100;69.64549891;73;14.71327977;216.4806016
15079010;42;98;75.65050821;78;11.89287004;141.4403577
15085030;31;100;78.88825682;83;13.69445386;187.5380666
15085050;-32710;32778;50.42019103;74;1474.922161;2175395.382
16015110;0;32779;74.82364628;69;394.92108;155962.6595
16015120;15;2304;78.82626889;81;17.57111174;308.7439676
16015130;18;32779;84.09861743;82;310.425465;96363.9693
16015501;0;346.1;68.98376161;68;18.0445104;325.6043556
16015502;6.660262;100.069;85.40815035;96.151865;18.36709176;337.3500597
16025040;35;100;79.51451562;82;12.1220293;146.9435943
16025501;25;104.0557;80.41487927;82.258655;18.40429424;338.7180465
16025502;0.3363367;227.5;74.6574342;83;31.58216815;997.433345
16025503;29.18567;262.0436;86.28557028;91.0463;15.01979388;225.5942081
16035010;0;100;39.79792467;50;32.00016064;1024.010281
16035030;25;100;81.43001305;87;16.16603997;261.3408482
16035501;33;100.0996;81.54796366;82.059405;16.10622485;259.4104789
16040050;22;100;85.63369633;90;13.52625589;182.9595983
16055120;0;32779;39.75234304;1;362.4130507;131343.2193
16055501;0;100.3132;88.32215605;95.373935;15.28118343;233.514567
17015010;0;100;80.72694972;80;7.439214769;55.34191638
17017001;-31781;32241;774.5150583;83;2990.465395;8942883.279
17025020;0;100;87.65411528;89;13.51910245;182.766131
17035010;-16959;1060;123.9383909;85;469.3188487;220260.1818
21015030;-9999;100;-1741.875065;86;3879.704727;15052108.77
21015040;0;32778;245.630305;91;1434.361266;2057392.24
21015050;-16959;32778;79.81205566;90;300.6725865;90404.00428
21015060;-27936;32778;88.22388215;89;787.0122926;619388.3487
21015070;-16959;32779;76.08672055;86;347.1445222;120509.3193
21015501;23.54818;117;80.01948809;85.17884;15.918352;253.3939305
21015502;16.4598;100.2496;76.95552838;80.63197;15.50377143;240.3669285
21025030;26;99;74.79434663;77;12.78182956;163.3751669
21035040;27;99;76.84712168;81;13.72453035;188.3627332
21035501;26.66894;99.93508;78.86632386;82.297885;11.80124064;139.2692806
21045010;37;95;71.7480916;73;18.94093796;358.7591309
21045501;25.12626;100.2633;82.27283137;85;13.11206075;171.926137
21050060;25;99;80.79623965;88;16.78533056;281.7473219
21050090;26;100;82.24782116;85;13.76237039;189.4028387
21055020;5.2;65.7;16.36725756;17.7;5.232736991;27.38153642
21055070;-16959;32779;62.60795215;80;529.1038249;279950.8575
21055501;24.63424;100.1117;75.32865123;76;12.8982102;166.3638265
21065040;27;100;81.60268515;87;15.2249377;231.7987281
21065501;0.7874787;102.0191;74.08343163;76.38389;13.47015677;181.4451234
21085030;4.5;95.6;16.02044199;14.7;10.66079534;113.6525573
21085501;17.99117;99.10301;69.15258582;68.21907;14.80208402;219.1016913
21095010;34;97;72.34180791;78.5;17.48877756;305.8573406
21105030;0;100;74.52164433;79;18.8257669;354.4094992
21105040;21;99;68.42103866;69;16.15255663;260.9050856
21105050;18;100;66.15868132;66;18.34044579;336.3719518
21105501;26;98.17384;66.89936344;65.55709;13.20261565;174.30906
21115010;-16959;32778;57.2576223;65;483.4397697;233714.0109
21115100;43;80;58.01986755;58;7.878637952;62.07293598
21115170;-32676;32779;499.2503739;88;2388.133054;5703179.483
21115180;-16959;32778;53.00703923;57;252.4984682;63755.47645
21115501;0;102.0724;66.85161432;69.69656;22.28853152;496.7786374
21125010;22;99;77.34060795;81;14.66379792;215.0269694
21130050;21;100;69.55513001;72;19.9196631;396.7929782
21135020;26;100;73.27015908;76;18.34072954;336.38236
21140120;32;100;75.10730187;72;13.85086358;191.8464218
21145080;33;100;80.11361026;84;14.67280912;215.2913276
21165501;0.4716156;133.2308;77.58042411;77.04965;13.0844968;171.2040565
21165502;0;100.1883;73.39173014;78.1321;24.60593985;605.4522757
21185030;28;100;73.96688899;77;18.70478679;349.8690487
21185080;27;100;79.61169193;84;17.45663745;304.7341911
21185090;0;32779;74.61817547;76;177.3041191;31436.75065
21185501;0.373712;262.0597;81.16625411;87.769235;18.60150539;346.0160028
21195120;32;100;80.8276453;83;11.73337516;137.6720926
21195160;-24478;32778;89.6641584;93;291.825447;85162.09151
21195170;-21248;32778;85.80459235;89;168.5962866;28424.70784
21195190;-32000;12800;84.45278318;87;109.6288294;12018.48024
21195501;-21.58896;113.7083;77.7933869;80;15.94537361;254.2549394
21195502;0;99;78.37236922;99;37.72944332;1423.510893
21197430;0;1000;286.4424196;89;308.4811671;95160.63047
21201200;0;102.96;97.36021461;102.96;12.20237929;148.8980604
21201580;0;39.78;0.000546962;0;0.147506436;0.021758149
21201980;0.7;327.7;83.90127677;83.6;33.79114675;1141.841599
21202170;0;95.8;69.63382397;71.8;15.26332203;232.9689994
21202180;9.6;98.3;76.87954876;78.4;11.52566486;132.8409504
21202200;0;327.7;66.47672622;76.9;32.08870447;1029.684955
21202220;0;327.67;68.44988389;70.21;17.28149851;298.6501907
21202230;0;95.3;73.61980977;76.7;12.30850716;151.4993486
21202240;41;102.96;97.10573513;101.62;8.389740049;70.38773808
21202250;0;101;73.65623182;76.1;11.09963058;123.201799
21205012;0;101;74.4076872;75;15.94576003;254.267263
21205480;0;100.001;81.85109929;86.102;14.59548573;213.0282037
21205501;25;100.0502;68.9849636;68;15.73219272;247.5018879
21205502;27;100.3874;73.62775761;72.474405;13.63327993;185.8663216
21205503;0;104;79.75237831;80;9.50874853;90.41629861
21205505;0;100;73.58699152;84;29.53395709;872.2546213
21205506;0;101;82.95447264;86;12.53005857;157.0023676
21205507;0;104;73.55214828;74;16.73208551;279.9626856
21205509;0;100;68.66854135;87.505;37.75741124;1425.622104
21205511;1.615;100;84.67570614;89.444;15.27543435;233.3388946
21205512;0.409;100;72.94989878;92.1;36.3412024;1320.682992
21205513;19.681;100;84.69907295;90.755;15.96099584;254.7533883
21205514;5.055;100;99.99781638;100;0.428921503;0.183973656
21205515;0;100;23.28802902;0.424;40.23446222;1618.81195
21205516;0;100;37.58647812;22.943;34.58649183;1196.225417
21205517;0;100;29.96643179;4.086;41.35909442;1710.574691
21205518;0;99.999;62.46721477;82.177;40.16740192;1613.420177
21205519;0;100;18.51627099;0.207;35.85205293;1285.3697
21205521;0;100;51.21158438;68.38865;40.02885016;1602.308845
21205522;0.197;100;8.24095793;0.343;23.98298657;575.1836447
21205523;0;100;43.92018589;54.68964;41.92460738;1757.672704
21205524;0;100;15.9061725;1.474;31.61422777;999.4593973
21205525;0.205;100;49.86395638;61.375095;42.69843638;1823.15647
21205526;24.988;100;89.16626695;91.69094;10.63324567;113.0659135
21205527;0.203;100;28.42424567;3.234;39.09735376;1528.603071
21205660;22;100;75.82394102;78;16.3461295;267.1959497
21205670;21;100;81.85362987;83;11.73666773;137.7493695
21205710;16;100;80.78184873;86;17.74169645;314.7677928
21205791;1;999;117.7902475;86;179.6525816;32275.05009
21205910;6;100;74.81884721;77;18.2451057;332.8838822
21205940;0;100;87.78815152;90;12.57525912;158.1371419
21205970;-29645;61444;356.9882335;87;1932.090921;3732975.327
21206280;32;100;92.71925318;95;8.190787466;67.08899931
21206560;0;95.3;63.80238095;79.75;31.70846818;1005.426954
21206600;0;4096;56.57788988;67;73.5405422;5408.211347
21206780;0;93.1;67.24279317;69.5;14.65006179;214.6243104
21206790;-29645;61444;365.968576;87;1962.955966;3853196.123
21206810;0;93.1;63.5220281;65.4;13.27207608;176.1480035
21206890;17.1;103;94.2485473;102.7;13.60794446;185.1761523
21206900;29.1;103;99.25757175;103;9.651851304;93.1582336
21206920;0;32779;88.07343306;93.8;162.9624668;26556.76559
21206930;-16959;32778;79.22856989;94;381.0415297;145192.6473
21206940;0;12743;441.7731979;97;413.9272043;171335.7304
21206950;-16959;32778;68.04351766;84;401.0815353;160866.398
21206960;-5;1060;67.93317986;69;14.62507867;213.892926
21206980;-29952;61448;89.50918082;85;627.7781237;394105.3727
21206990;-65344;32778;260.0385481;88;1540.931545;2374470.028
21208480;0;92.5;65.16961835;66.2;13.4431713;180.7188546
21209940;0;327.7;82.75019435;86.9;18.47220636;341.2224078
21215150;-32536;32778;-2155.551907;93;5819.154269;33862556.41
21215160;-23040;32778;73.48410483;83;127.8765684;16352.41675
21215170;31;100;84.80116049;88;11.95247562;142.8616734
21215180;-32376;1280;69.03397644;76;102.0101823;10406.07729
21215190;-25768;32778;88.14150298;90;185.1030637;34263.14421
21215501;0;100.173;70.26574044;79.03613;31.19750452;973.2842881
21235030;-19410;32778;81.50367074;68;211.1668353;44591.43235
21237020;0;0;0;0;0;0
21237060;0;100.001;77.99740526;80.5735;15.25486049;232.7107685
21255090;41;96;78.40512821;82;13.70773633;187.9020354
21255160;-32709;32778;71.57290812;71;493.41492;243458.2833
21255170;-31204;65343;1003.390484;92;3415.9796;11668916.63
21255501;0.4303984;239.4011;78.43061681;83;16.36277333;267.740351
22020020;19;98;74.13652321;77;13.92310599;193.8528804
22025040;-32512;100;35.19986525;10;257.9534406;66539.97751
22025501;0.3699497;100.3226;77.55984707;79.59263;18.63866635;347.3998833
22045010;21;94;73.26225292;76;14.58752468;212.7958763
22045502;19.71765;100.223;75.0944183;77.71049;15.51008534;240.5627471
22055020;25;100;77.36891506;82;17.6555067;311.7169169
22065040;29;100;78.39553595;81;14.21861575;202.1690339
22070030;33;999;82.03246412;82;12.69988329;161.2870356
22075050;0;32779;88.98197329;97;176.860316;31279.57139
23015501;0.3635863;100.1261;71.28298738;77.3256;25.58513736;654.5992538
23020080;60;100;89.03191489;94;11.11953829;123.6441318
23025040;33;98;78.37982756;81;12.5216016;156.7905065
23025501;22.23231;272.6101;75.12904282;76.894635;14.18939228;201.3388532
23025502;0;268.659;89.03259741;94.07129;16.25790934;264.3196162
23035030;-32004;31792;-67.89273375;86;2776.767396;7710437.174
23055501;33.55337;100.2669;85.56103884;88;14.53524164;211.2732494
23055502;1;100.234;83.52679564;88.398095;17.96801096;322.8494179
23065110;32;100;88.87964938;92;10.68670125;114.2055836
