Station;minimo;maximo;media;desvest;varianza
11030010;996.2;1011.7;1006.147228;2.265164472;5.130970085
11035030;992.6;1006.6;999.6051289;2.045259413;4.183086066
11045010;998.2;1010.8;1004.701241;2.034247181;4.138161594
11050020;1001.4;1013.2;1007.777785;2.051915998;4.210359265
11080010;1002.2;1013.2;1009.439539;1.969709893;3.879757062
11105020;1003.6;1013.2;1009.157297;1.981031951;3.92448759
11115020;866.6;878.2;872.9779918;1.581499844;2.501141756
11120040;1004.3;1013.2;1010.439644;1.660116215;2.755985848
11135030;1003.2;1013.2;1009.589988;2.108392805;4.44532022
11155030;1003.7;1010.5;1006.756782;1.426743977;2.035598376
11159010;1001.3;1013.2;1007.954949;2.487144395;6.185887241
11175000;999.5;1013;1006.95369;2.119157896;4.490830189
12015060;1000.6;1012.9;1006.949601;1.930072202;3.725178704
12015100;1003.5;1013.2;1007.078868;2.144049326;4.596947512
12015110;1000.7;1013.2;1006.294213;2.381853435;5.673225788
12025040;1003.5;1013.2;1009.897774;1.744286194;3.042534327
12045020;1003.3;1013.2;1008.903384;1.75930529;3.095155102
13035501;1003;1013.2;1008.804483;2.065108905;4.264674789
13055040;1002.8;1013.2;1006.328958;2.271378464;5.159160126
13085030;1004;1013.2;1008.647687;1.683718402;2.834907658
13085050;1001.1;1013.2;1004.881401;2.022027676;4.088595923
13095010;1003.7;1013.2;1010.658304;1.575581397;2.482456739
14015010;1003.8;1013.2;1009.016998;1.684683034;2.838156924
14015020;1003.7;1013.2;1009.265405;1.707714298;2.916288122
14015080;1003.6;1013.2;1009.089202;1.904805723;3.628284842
14017001;1004.3;1013.2;1008.864074;1.906575503;3.635030148
15015050;1004.3;1013.2;1009.020176;1.858240588;3.453058082
15015060;774.4;783.2;778.9813927;1.178627471;1.389162716
15015100;1004.1;1013.2;1009.400985;1.706601189;2.912487618
15015120;1002.1;1013.2;1007.545733;1.957324803;3.831120385
15035020;1004;1013.2;1009.417513;1.671989831;2.795549996
15065180;1002.9;1013.2;1007.577362;2.143473455;4.594478452
15065501;992.8;1006.2;999.0133623;1.88242531;3.543525049
15075501;1001.7;1013.2;1008.333745;1.889955333;3.57193116
15079010;1004;1011.1;1006.78838;1.495257295;2.235794379
15085030;990.8;1005.1;997.8881021;2.006083451;4.024370813
15085050;985.7;1003.2;995.2741544;2.000239975;4.000959957
16015110;970.9;988.6;978.8206106;2.249362804;5.059633025
16015501;969.3;984;976.1236608;2.164962228;4.687061448
16025040;993.4;1007.9;1000.428391;2.084487937;4.34508996
16035010;997.8;1012.7;1005.12612;2.179727655;4.75121265
16035030;969.4;981.3;974.4440362;1.971910102;3.88842945
16040050;804.5;813.7;809.4865738;1.302675978;1.696964705
16055120;828.8;842.7;834.2813993;1.653220839;2.733139143
17015010;1004.3;1013.2;1011.017376;1.659421824;2.75368079
17017001;1004.3;1013.2;1010.43319;1.937458143;3.753744055
17025020;1004.3;1013.2;1008.923481;1.950600202;3.804841148
17035010;1006.3;1013.2;1010.316881;1.345150838;1.809430778
21015030;822;833.1;827.7978573;1.745279437;3.046000314
21015050;799.1;812.1;805.9608626;1.834607401;3.365784318
21015070;802.4;815;809.6987596;1.941465399;3.769287896
21025030;858.4;876.3;863.7317143;5.39864622;29.14538101
21035040;891.8;905.8;898.7973466;2.071338364;4.290442618
21045010;918.9;927.4;923.3159292;1.887580006;3.562958281
21050060;839.8;852.3;846.1305302;1.871861604;3.503865866
21050090;839.1;851.4;845.026922;1.81514581;3.294754312
21055020;891.8;901.6;897.6961053;1.843627589;3.398962686
21065040;865.1;877.6;871.4241101;1.90855027;3.642564131
21095010;949.5;959.1;954.172381;1.98100029;3.924362147
21105030;895.5;909.1;902.6653608;2.024771643;4.099700204
21105040;929.8;942.9;936.2640401;2.261078484;5.112475912
21105050;937.9;949.8;943.2945115;2.251159727;5.067720118
21115010;953.7;969;958.9155842;2.407697164;5.797005635
21115100;877.5;884.4;881.1633094;1.56839916;2.459875925
21115180;942.7;958.8;949.3811908;2.748273731;7.5530085
21125010;858;869.3;863.377469;1.765679425;3.117623831
21130050;959.6;971.7;965.1184071;2.32341756;5.398269157
21135020;968.7;980.9;973.6610297;2.312664951;5.348419175
21140120;847.3;858.1;852.9163302;1.738645053;3.022886621
21145080;845.9;857.8;852.7268599;1.72723505;2.98334092
21185030;967.6;979.6;972.959135;2.254111763;5.081019838
21185080;938.7;950.6;944.1568418;2.128084648;4.52874427
21195120;851.4;863.5;857.8820959;1.645136724;2.706474841
21195170;704.7;710.5;709.6498882;0.719576683;0.517790602
21195190;780.1;792;785.9511619;1.556023237;2.421208313
21195502;805;816;810.8623298;1.520468749;2.311825217
21205012;744.2;757;752.6196736;1.698023533;2.883283918
21205480;732.808;742.83;738.7757468;1.359867337;1.849239173
21205503;794;804;798.9773413;1.468805004;2.15738814
21205505;747;757;752.755844;1.470931967;2.163640852
21205507;829;840;834.5115202;1.593801741;2.54020399
21205511;722.492;734.728;727.8570833;1.486452383;2.209540688
21205512;683.358;701.0292;699.7704504;0.873037685;0.762194799
21205517;741.87;756.579;748.0338368;1.718823076;2.954352765
21205518;685.038;691.321;688.8967136;1.127724594;1.271762761
21205519;722.385;730.294;726.6129568;1.250193122;1.562982843
21205521;709.381;716.127;714.2312953;1.12495224;1.265517542
21205522;743.527;756.295;749.0571821;1.535972483;2.359211468
21205523;745.875;756.576;751.5004455;1.468906481;2.157686251
21205524;705.932;711.6371;709.8843764;1.047865397;1.098021889
21205525;718.205;727.312;723.1113613;1.298866367;1.687053838
21205526;792.201;801.506;797.0832991;1.420787448;2.018636972
21205527;708.673;718.302;714.2221934;1.261727422;1.591956087
21205660;918.5;931.7;924.6845065;1.998461308;3.993847601
21205670;806.9;815.9;811.6601022;1.43097044;2.047676399
21205710;747.3;756.7;752.4795298;1.403088423;1.968657122
21205791;745;757.2;753.1518816;1.482827842;2.19877841
21205910;745.1;755.2;750.5680556;1.482917127;2.199043206
21205940;743.7;752.6;748.3983259;1.318170265;1.737572849
21206280;736.3;744.3;740.6795845;1.273530053;1.621878795
21206560;749.3;754;751.4855263;1.098933295;1.207654386
21206600;747;756.9;752.78987;1.392428801;1.938857965
21206930;689.1;694.9;693.3293201;1.018792714;1.037938593
21206950;686;692;690.2744972;1.114015944;1.241031524
21206960;740.6;747.5;745.8119273;1.114624098;1.24238688
21206990;748;758;753.8033366;1.481317133;2.194300449
21215150;582.1;590.8;586.3047996;1.39956279;1.958776002
21215180;865.2;882.8;873.0543853;3.098308096;9.59951306
21235030;970.7;988.6;976.2247533;2.592667486;6.721924691
21255090;972.1;978.2;974.5048951;1.48130741;2.194271644
22020020;820.6;833.2;826.9335718;2.107902354;4.443252332
22025040;623.4;630.6;626.9431399;1.095793483;1.200763358
22045010;905.3;918.1;912.2688367;2.031257542;4.126007201
22055020;929.4;941.4;934.9729201;2.180093547;4.752807872
22070030;746.2;754.6;750.6710243;1.30425216;1.701073697
22075050;666.3;683.8;682.7478995;1.223615806;1.497235639
23020080;801.1;806.2;803.9875;1.281057827;1.641109155
23025040;920.2;931.9;925.1433914;1.877675882;3.525666718
23035030;985.3;997.3;989.5082467;2.117671373;4.484532044
23065110;858.6;869.9;864.6794729;1.605493497;2.577609369
23065120;801.6;805.8;802.7689715;0.814164375;0.66286363
23065180;910.9;921.3;916.3103825;1.933158829;3.737103057
23065504;840;851;846.6140402;1.59027297;2.528968119
23065505;863;880;873.0279306;1.987439994;3.949917729
23065506;719.861;725.987;722.0797504;1.107715634;1.227033926
23065507;843.931;844.736;844.3335;0.569220959;0.3240125
23085080;912.3;922.7;917.1341298;1.783589868;3.181192817
23085270;779.5;797.2;790.3044692;1.419786662;2.015794165
23115010;989;1001;994.2494953;2.294672571;5.265522209
23125140;871.8;883.4;878.201824;1.716152811;2.94518047
23125170;728.5;734.9;731.8209405;1.142859287;1.30612735
23155030;991;1001;994.3066298;2.008504858;4.034091766
23180070;987;1000.3;993.4961716;2.122138985;4.503473873
23190130;814;823.2;818.9011966;1.36167002;1.854145245
23190700;900.5;912.5;906.9690329;1.762208548;3.105378968
23195090;813.3;822.7;818.2878425;1.404991956;1.974002397
23195110;922;935.2;927.5597823;1.902610659;3.619927318
23195200;806.9;816.1;811.4891056;1.31996968;1.742319957
23195230;904.9;912.2;907.4105659;1.324049575;1.753107277
23195240;993.7;1006.8;998.2200617;2.115932845;4.477171803
23195502;876.7;889.4;882.2678642;1.782530787;3.177416006
23205050;890.4;901.2;896.0490492;1.562218843;2.440527712
24010390;722;731;726.7912436;1.304646122;1.702101503
24015110;741.7;748.3;745.4786472;1.255175855;1.575466428
24015300;780.5;790.7;786.1938272;1.528379417;2.335943643
24015340;712;722;717.3592963;1.360003493;1.849609502
24015380;712.4;719.7;716.7860823;1.282429225;1.644624716
24015504;774;785;780.2681473;1.569759452;2.464144738
24015506;748;751;750.6532043;0.548386384;0.300727626
24015507;703.594;704.582;704.3204728;0.240086591;0.057641571
24015508;753.455;762.5;758.293521;1.318987743;1.739728667
24015513;786.1;793.7;790.5907585;1.396437139;1.950036684
24025030;721.2;729.4;725.634785;1.192445916;1.421927262
24025050;862.9;874.4;869.1283433;1.959290766;3.838820308
24025090;827.1;836.7;832.5916586;1.602789601;2.568934504
24030680;689.2;696.1;693.431454;1.170308024;1.369620871
24030950;777.7;788;783.557996;1.504883036;2.264672951
24035250;712.9;719.6;717.4317561;1.182189299;1.397571538
24035340;753.5;763.5;759.0201802;1.570088065;2.465176533
24035370;667.8;671.8;670.8880557;0.692306663;0.479288515
24035380;558.3;576.2;573.9319788;1.69279575;2.865557452
24035410;746;763.7;758.6934043;1.645658007;2.708190277
24035430;750.9;761.9;758.6415902;1.859359886;3.457219186
24035440;534.2;534.2;534.2;;
24055070;883.8;898.3;889.3785242;1.994446744;3.977817814
24055080;994;1011.9;999.4221775;3.020663396;9.12440735
25010010;998.1;1006.8;1000.609817;1.562540889;2.441534028
25025000;992.4;1000.5;994.4438615;1.347384508;1.815445012
25025030;1000.5;1013;1006.153389;2.106996155;4.439432797
25025100;997.7;1008.5;1002.931633;1.980151423;3.920999657
25025190;994.9;1006.6;999.9823105;1.940456235;3.765370398
25025240;1002;1012;1005.774725;1.881268341;3.53917057
25025270;985.7;997.2;991.5436403;1.944852732;3.78245215
25025330;995.8;1008.2;1001.537918;2.037210592;4.150226997
25025340;1001.4;1013.2;1006.223272;2.076817206;4.313169707
25025350;983.7;1000.6;989.0518445;2.124707441;4.514381709
25025360;1000.7;1013.2;1005.956415;2.127847425;4.527734666
25025380;999.4;1011.8;1007.277427;1.989344279;3.957490661
26015010;811.9;828.6;821.5433579;1.810389691;3.277510832
26015030;655.3;659.9;658.9023667;0.748541146;0.560313847
26035100;820;833.8;827.366748;1.861603197;3.465566462
26055100;767.9;785.7;779.6095563;1.856518997;3.446662787
26055110;895.7;913.6;902.7930242;2.584365641;6.678945765
26055120;896.4;913.1;903.0928501;2.510571387;6.302968689
26075150;897.9;915.3;905.8250414;2.721055543;7.404143269
26085170;894.1;912;901.0812239;2.332626781;5.441147698
26095320;894.2;912;904.818207;2.247081194;5.049373894
26105250;902;919.9;908.4553558;3.290182968;10.82530397
26125061;871.7;888.9;879.2325961;1.878690966;3.529479745
26125290;848.9;863.9;857.017833;1.931986427;3.732571554
26125710;858.2;876.1;866.4968145;2.356634918;5.553728136
26125720;876.2;888.5;883.2844619;1.886106178;3.557396515
26125760;806.3;815.6;811.6278496;1.429444604;2.043311877
26135290;830.8;845.7;838.1589869;1.826993641;3.337905765
26135300;805.9;822.1;815.0165078;2.299142501;5.286056239
26145090;817.2;832.2;823.7897209;1.901319013;3.615013991
26155150;620.1;621.5;621.2489943;0.255132343;0.065092512
26155170;767.8;776.6;772.7956316;1.303316363;1.698633543
26155220;804.2;822.1;813.5329075;3.707180148;13.74318465
26155240;659.7;663.1;662.49957;0.512000003;0.262144003
26180180;762;770.5;766.8446722;1.298237169;1.685419748
26180250;684.2;689.3;687.7042449;0.946964802;0.896742337
27015280;681.5;699.4;698.1151411;1.300375461;1.690976341
27015310;850.6;867.4;858.2916399;1.99238338;3.969591533
27015330;844.3;857.2;851.5151258;1.789782182;3.203320258
28015070;978.44;986.27;980.9354696;1.546054198;2.390283582
28025090;992.6;1004.2;998.1686821;2.02990461;4.120512725
28025120;775.9;784.6;780.5355933;1.234639476;1.524334637
28025130;998;1008.4;1003.206567;1.802051095;3.247388149
28025502;988.7;1006.6;992.9508375;2.486860902;6.184477146
28035060;985.5;1001;990.0017167;2.033487836;4.135072779
28035070;866.4;876.9;871.6446509;1.388340032;1.927488044
29004520;1003.5;1013.2;1010.048435;1.610981899;2.59526268
29015000;1002.1;1008.9;1003.635356;1.142726865;1.305824687
29035000;1004;1013.2;1009.448628;1.820036639;3.312533367
29035080;1003;1013.2;1008.753994;1.934875556;3.743743417
29045000;993;1009;1000.083628;3.179288274;10.10787393
29045110;1000;1011;1005.49738;1.753823217;3.075895878
29045180;1007.6;1011.3;1009.608333;1.158678658;1.342536232
29045190;1001.7;1013.1;1006.840114;1.855935352;3.44449603
29065000;1002.7;1013.2;1008.894928;1.86755089;3.487746328
31095030;993.1;1009.5;999.7361321;2.623944455;6.885084502
32105080;983.2;1001.1;989.7254158;3.174653641;10.07842574
33035010;985.11;999.83;992.0992403;2.339314149;5.472390686
35020300;772.5;782.2;777.3649191;1.444321194;2.08606371
35025080;693.8;699.4;698.1641064;0.939470531;0.882604879
35025110;966;983.8;974.3682965;2.553164693;6.518649947
35025502;681.944;685.4554;684.7600216;0.526822423;0.277541866
35035100;956.1;973.5;963.2513801;2.328915283;5.423846397
35035130;641;643.2;642.8458096;0.34785155;0.121000701
35060210;784.3;794;789.5633947;1.502760304;2.258288531
35075040;826;835.3;831.2597116;1.569536396;2.463444499
35075070;792.7;809.4;800.482744;1.986622443;3.946668731
35075080;666.2;684.1;682.7970585;1.631097286;2.660478357
35075090;742.7955;747.665;744.0405276;0.802247511;0.643601068
35080050;865;876;870.7996788;1.710694621;2.926476087
35095110;967.4;980;973.4875264;2.147689909;4.612571946
35095120;704.6;714.2;711.2746499;1.577552297;2.48867125
35165000;703.4;708.4;707.3715491;0.844231834;0.71272739
35185010;984;1001;990.7646164;2.536538507;6.434027599
35195050;845;854;849.7972832;1.731045871;2.996519808
35195060;714;721.2;719.0306674;1.213468284;1.472505277
35215020;968.8;986.7;975.9589049;2.567509442;6.592104735
35215030;849.3;860.9;854.9815874;1.656215119;2.743048521
35225030;988.2;1004.2;995.5928469;2.399388443;5.7570649
35235010;658.2;662;661.2812618;0.579820687;0.336192029
35235040;985;1000.2;992.6324174;2.328911346;5.423828058
35235050;893.6;906;899.7981046;1.798298021;3.233875774
35260050;992.1;1005.5;997.7609889;2.294750914;5.265881758
36015020;986.4;1004;992.2293541;3.178369806;10.10203462
37015030;682.7;688.4;687.5870057;0.684682748;0.468790466
37045010;981.1;994.1;989.0188436;2.137684017;4.569692956
42077020;984.8;1000;991.5548035;2.459761146;6.050424897
44015060;932;949.9;938.7229527;2.630740607;6.92079614
44035050;977.1;995;985.6614824;3.764267957;14.16971325
44045030;977.4;986.6;981.8504706;1.785910309;3.189475632
44055010;982.6;997.8;988.5610132;2.540863579;6.455987728
44197020;997.6;1011.4;1004.477509;2.463838046;6.070497919
46015030;973.3;991.2;980.4974027;3.822221808;14.60937955
46035010;972.7;989.2;979.6811172;2.629738589;6.915525048
47015100;725.6;733.7;730.1159587;1.346365871;1.812701058
47035030;983.6;1001.4;989.1818457;2.952070354;8.714719377
48015010;994.9;1009.9;1001.459514;2.517949274;6.340068546
48015040;993.6;1011.5;998.4255162;2.793841642;7.805551118
48015050;994.9;1010.8;1000.620313;2.629510059;6.914323153
51025060;947.6;965.3;957.5439546;2.767914426;7.661350269
51025090;1003;1013;1009.690168;1.779776882;3.167605751
51035020;1004.3;1013.2;1010.421601;1.676281419;2.809919396
52020070;757.9;766.8;762.936134;1.339452247;1.794132323
52040050;788.7;798.7;794.355997;1.441352426;2.077496816
52045080;745.1;759;755.2657042;3.146464178;9.900236826
52050060;708.8;717.2;713.176165;1.270413009;1.613949215
52050080;752.3;761.2;757.0996587;1.409406514;1.986426723
52050090;742.1;752.5;746.872187;1.406029099;1.976917826
52055090;731.2;739.4;735.3568597;1.218947283;1.485832479
52055150;661.8;667;666.027823;0.744102054;0.553687866
52055160;627.1;628.6;628.2694737;0.352520917;0.124270997
52055210;726.2;735.5;732.263763;1.367939817;1.871259343
52055220;706;713;711.0803578;1.178676722;1.389278815
52055230;708.4;719.2;716.2890102;1.566914911;2.45522234
53045040;1003.8;1013.2;1009.884038;1.894478454;3.589048612
53075020;832.2;842.1;833.8706768;1.527292541;2.332622505
54010010;998.5;1012.1;1005.183194;2.063710755;4.25890208
54015010;844.4;847.3;844.9505221;0.493048174;0.243096502
54015020;995.1;1011.2;1001.809633;2.044488691;4.179934006
54020020;998.5;1010.7;1003.55321;1.970528171;3.882981271
54020090;998.9;1010.4;1004.616721;1.809183819;3.273146092
54050010;1001.3;1013.2;1008.651675;1.875621357;3.517955474
54077210;1004.4;1013.2;1011.260595;1.495768803;2.237324311
55015020;1004.3;1013.2;1010.379226;1.635902199;2.676176003
56010040;1005.2;1013.2;1010.511779;1.517360142;2.302381801
56015010;1004.4;1013.2;1011.206081;1.420886169;2.018917506
56015040;1004.4;1013.2;1010.328371;1.555800152;2.420514113
56019010;1004.6;1013.2;1010.365413;1.710493253;2.925787168
56125730;690.6;694.5;693.5246352;0.721812071;0.521012665
57015010;1004.3;1005.6;1004.65;0.363067737;0.131818182
57025020;1004.3;1013.2;1009.425419;2.108578772;4.446104438
88112901;600;899.9;748.9434906;17.62342833;310.5852262
1111500036;802.7;810.4;805.4753531;1.260886069;1.58983368
1117500060;999.3;1009.2;1002.96587;1.778382315;3.162643659
1206500136;1001.1;1012.9;1007.046747;1.810567369;3.278154199
1303500074;994.9;1007.1;1000.795975;1.865750547;3.481025102
1303500129;996;1007.6;1001.072957;1.889344796;3.569623756
1508500053;1003.6;1013.2;1011.08183;1.521711096;2.315604658
1509500118;977.7;987.6;981.1928585;1.583094095;2.506186915
1602500044;874.3;884.6;879.924142;1.532151171;2.34748721
1602500110;898.1;909.8;904.3781589;1.673589967;2.800903378
2119500111;967.4;981;972.4419727;2.271251139;5.158581738
2120500050;690;696;694.0270344;1.089254439;1.186475232
2120500135;747.2;757;752.4483984;1.431355299;2.048777993
2121500042;744.3;753.4;749.0369405;1.36402678;1.860569057
2121500048;878.3;884.9;880.5172068;1.353218169;1.831199413
2201500047;834;837.3;836.6926618;0.525592856;0.27624785
2302500037;764.2;773.5;769.2779538;1.309708334;1.71533592
2302500064;798.4;808;803.6117456;1.444160544;2.085599676
2305500055;796.3;805.8;801.7594614;1.414102255;1.999685186
2306500106;822.6;832.6;828.0231505;1.477525153;2.183080579
2308500068;783.9;793.4;789.0658172;1.356854018;1.841052826
2308500071;745.7;754.3;750.4006423;1.242183762;1.543020499
2319500043;905.6;917.9;912.2321863;1.730334255;2.994056635
2319500125;798.7;807.4;803.2309568;1.2848615;1.650869075
2319500137;680.6;687.3;685.0363414;1.08385509;1.174741856
2401500040;723;732.3;728.3864858;1.353233099;1.83123982
2401500080;690.7;696.8;694.9180618;1.081580141;1.169815601
2401500086;733.4;742.4;738.7247513;1.363562502;1.859302697
2403500041;752.2;762.5;757.9062917;1.568382989;2.459825199
2403500081;739.4;747.6;743.1363691;1.425725408;2.032692938
2403500082;729.3;735.1;733.7340561;1.008230177;1.016528091
2403500083;729.3;737.6;734.4132194;1.334261709;1.780254309
2403500084;713.5;722.6;718.660722;1.318481205;1.738392689
2403500085;754.2;763.9;759.5371166;1.411090476;1.991176332
2501500120;989.7;1001.8;995.216799;1.957365976;3.831281563
2604500039;888.6;903;896.6819383;2.081421413;4.3323151
2604500134;819.3;830.2;825.5089714;1.555922066;2.420893475
2610500131;715.6;722.8;719.9797852;1.166874166;1.361595319
2612500038;844.9;853.4;848.755179;1.582715663;2.504988871
2612500130;806.9;812.9;811.7303384;0.984413065;0.969069082
2612500210;732.6;739.8;736.6536917;1.225278326;1.501306975
2612500211;894.8;907;901.1070245;2.129188267;4.533442676
2612500212;798.4;807.4;802.9532795;1.456467544;2.121297707
2612500213;834.3;845;839.435832;1.648535551;2.717669462
2612500214;840.8;851;846.0623224;1.699509632;2.888332991
2612500215;847.6;858.1;853.0806206;1.743218988;3.038812441
2613500126;786.1;795.6;791.0199049;1.391419666;1.936048688
2614500112;796.7;806.3;802.0275854;1.413644424;1.998390558
2614500116;783.9;793.5;789.2086429;1.396977371;1.951545776
2615500122;682.3;687.9;685.9819072;1.018596826;1.037539494
2621500070;810.3;817.1;812.6576197;1.206856499;1.45650261
2701500105;774.1;783.1;779.1775745;1.362384519;1.856091579
2702500107;818.9;829.3;824.4091107;1.415968284;2.004966181
