Station;minimo;maximo;media;desvest;varianza
11030010;977.9;1037.9;1006.199487;2.439938402;5.953299405
11035030;155;41115;1007.231791;516.1658335;266427.1677
11045010;996.9;1010.8;1004.702346;2.042558786;4.172046396
11050020;1000.6;1014.5;1007.789906;2.077524308;4.31610725
11080010;1002;1015.9;1009.599913;2.103292507;4.423839371
11105020;-2055.2;3277.8;811.265917;400.3648832;160292.0397
11115020;865.9;878.2;872.9511947;1.61199114;2.598515437
11120040;1004.3;1017.7;1010.784398;1.917507942;3.676836708
11155030;1002.3;1011;1006.685472;1.575873415;2.48337702
11159010;286.8;3277.9;1011.952974;23.4782417;551.2278333
11175000;998.9;1013.4;1006.938311;2.129206877;4.533521926
12015060;999;1012.9;1006.951581;1.937876247;3.755364347
12015100;0.1;3277.8;1006.433223;20.50067506;420.2776779
12015110;0.9;1030.4;1006.553325;9.915004597;98.30731616
12025040;1002.1;1016.4;1010.054869;1.879649155;3.533080945
12045020;1001.6;1015.5;1008.932207;1.802453467;3.248838501
13035501;10;1015.6;1008.792565;4.39435327;19.31034067
13055040;-3225.6;3277.8;1016.729338;124.7890639;15572.31046
13085030;1001.5;1013.9;1008.638476;1.72602095;2.97914832
13085050;-10272.5;12191.9;1004.447635;126.5202603;16007.37626
13095010;0.2;1018.4;1010.509485;14.93412587;223.0281154
14015010;753.8;1015.9;1009.023667;2.135126051;4.558763252
14015020;7.5;1016;1008.654891;10.81866557;117.0435248
14015080;500.1;1145.8;1008.249251;21.26149697;452.0512532
14017001;-2521.6;3057.7;1003.716042;45.74140065;2092.275733
15015050;1004.2;1014.8;1009.149231;1.976535534;3.906692718
15015060;774.2;783.2;778.9797769;1.180803058;1.394295861
15015100;1002.9;1016;1009.526805;1.813939483;3.290376447
15015120;-3250.4;2831.8;990.105797;202.4402997;40982.07495
15035020;1002.2;1017;1009.510666;1.823238068;3.324197054
15065180;500.1;1015.6;1007.411676;3.043392121;9.2622356
15065501;600;1006.2;997.9369245;18.80046007;353.4572988
15075501;599.8;1015.1;1007.735932;15.59463188;243.1925436
15079010;1000.8;1011.1;1006.469273;1.796323498;3.226778109
15085030;990.8;1005.1;997.9077497;2.02130985;4.085693511
15085050;-3270.4;3277.9;994.1810633;158.7461832;25200.35069
16015110;582.6;3277.9;814.1916674;193.1579509;37309.99398
16015501;5.4;984;975.6104723;22.63349741;512.2752049
16025040;987;1007.9;1000.432229;2.089964757;4.367952686
16035010;997.5;1012.7;1005.122238;2.182517437;4.763382361
