CodEstacion,fecha_inicial,fecha_final
11105020,2005-08-31 12:00:00,2019-07-29 06:27:00
11135030,2005-09-05 01:00:00,2021-05-08 02:00:00
12015100,2005-01-01 04:30:00,2021-04-25 14:00:00
12015110,2012-09-16 16:00:00,2022-02-18 15:00:00
13085050,2005-01-01 00:00:00,2010-09-03 13:00:00
15085050,2005-04-04 10:00:00,2018-04-23 11:00:00
16015120,2011-03-22 09:00:00,2023-03-17 04:00:00
21015050,2005-06-27 19:00:00,2021-11-08 15:00:00
21015060,2006-07-26 19:00:00,2024-09-13 03:00:00
21015070,2005-06-27 19:00:00,2023-03-17 04:00:00
21115010,2005-06-21 18:00:00,2009-06-12 23:00:00
21115180,2005-06-29 10:00:00,2024-09-13 07:00:00
21185090,2005-10-06 11:00:00,2021-07-07 18:00:00
21195170,2005-07-12 11:00:00,2024-09-13 07:00:00
21195190,2008-06-25 17:00:00,2023-03-17 04:00:00
21205480,2018-10-29 15:00:00,2024-01-23 06:00:00
21205509,2018-10-29 15:00:00,2024-09-07 05:00:00
21205511,2018-10-29 15:00:00,2024-10-15 04:00:00
21205512,2018-10-29 15:00:00,2024-10-15 04:00:00
21205513,2018-10-29 15:00:00,2024-08-02 19:00:00
21205514,2018-10-29 15:00:00,2020-12-31 17:10:00
21205515,2018-10-29 15:00:00,2024-10-15 04:00:00
21205516,2018-10-31 03:00:00,2024-10-15 04:00:00
21205517,2018-10-29 15:00:00,2024-10-15 04:00:00
21205518,2019-01-31 08:20:00,2024-10-15 04:00:00
21205519,2018-10-29 15:00:00,2024-10-15 04:50:00
21205521,2018-10-29 15:00:00,2024-10-15 04:20:00
21205522,2018-10-29 15:00:00,2024-08-20 17:00:00
21205523,2018-10-29 15:00:00,2024-10-15 04:50:00
21205524,2018-10-29 15:00:00,2024-10-15 04:50:00
21205525,2018-10-29 15:00:00,2024-10-15 04:00:00
21205526,2019-02-08 07:20:00,2024-10-15 04:50:00
21205527,2018-10-29 15:00:00,2024-10-15 04:00:00
21205970,2005-02-08 01:00:00,2021-09-17 08:00:00
21206790,2005-02-08 01:00:00,2021-09-17 08:00:00
21206930,2005-01-01 00:40:00,2023-03-17 04:00:00
21206950,2005-06-20 19:00:00,2022-06-04 16:00:00
21206980,2005-04-21 18:00:00,2023-03-05 12:00:00
21206990,2005-02-01 18:00:00,2024-09-13 02:00:00
21237060,2018-10-29 15:00:00,2024-08-23 14:30:00
21255160,2005-04-13 00:00:00,2021-07-15 09:00:00
23065160,2018-10-29 15:00:00,2024-10-06 04:00:00
23065506,2018-10-29 15:00:00,2020-12-30 18:00:00
23065507,2018-10-29 15:00:00,2024-06-30 09:00:00
23085260,2005-01-01 19:00:00,2024-09-13 07:00:00
23105060,2004-11-19 18:00:00,2017-02-06 15:00:00
23195040,2022-05-24 11:00:00,2022-06-16 11:00:00
23195240,2005-08-08 14:00:00,2021-04-01 15:00:00
24015110,2005-06-27 19:00:00,2023-04-25 11:00:00
24015507,2018-10-29 15:00:00,2024-10-15 04:00:00
24015508,2018-10-29 15:00:00,2024-10-15 04:00:00
24015513,2016-03-01 01:00:00,2016-08-10 16:00:00
24025050,2016-03-01 01:00:00,2021-05-05 22:00:00
24025090,2009-11-07 09:00:00,2023-04-05 04:00:00
24035390,2005-04-19 19:00:00,2023-05-16 15:00:00
24035430,2005-04-21 18:00:00,2023-03-16 17:00:00
24055070,2005-04-19 18:00:00,2024-09-11 20:00:00
24055080,2005-02-14 18:00:00,2021-09-10 15:00:00
25010010,2021-06-03 17:00:00,2023-04-19 21:00:00
25015020,2003-09-18 20:08:03,2017-12-14 09:54:00
25025100,2022-01-17 14:00:00,2024-10-15 04:00:00
25025240,2020-11-25 19:00:00,2023-05-18 15:00:00
25025280,2005-01-01 00:00:00,2024-09-10 08:00:00
25025340,2011-05-23 01:00:00,2020-08-20 20:00:00
26015040,2016-11-26 14:00:00,2023-05-23 09:00:00
26035100,2005-11-11 16:00:00,2009-12-30 17:00:00
26055110,2022-02-26 10:00:00,2023-03-16 18:00:00
26095320,2005-06-10 17:00:00,2023-03-17 04:00:00
26105250,2005-06-10 20:00:00,2022-12-17 14:00:00
26135290,2005-05-14 19:00:00,2019-03-30 09:00:00
26135300,2005-05-15 18:00:00,2023-03-16 07:00:00
26145090,2005-10-26 01:00:00,2023-03-17 03:00:00
26225060,2005-01-01 13:00:00,2024-09-13 07:00:00
26255030,2016-12-20 10:00:00,2023-03-17 03:00:00
27015280,2005-05-15 08:00:00,2024-09-13 07:00:00
27015320,2016-12-16 14:00:00,2023-03-17 01:00:00
28025120,2005-01-01 11:10:00,2021-10-15 19:00:00
29015040,2006-02-28 17:00:00,2024-09-13 07:00:00
29045150,2005-05-16 09:00:00,2010-01-31 15:00:00
29065130,2008-10-20 13:00:00,2023-03-17 04:00:00
35020300,2021-09-22 20:00:00,2024-10-15 04:00:00
35025110,2011-05-25 18:00:00,2023-03-02 08:00:00
35025502,2018-10-29 15:00:00,2024-10-15 04:00:00
35035130,2016-10-13 15:00:00,2016-12-01 19:00:00
35075070,2017-01-01 10:00:00,2024-09-13 02:00:00
35075080,2001-12-04 09:20:00,2023-03-17 04:00:00
35075090,2018-10-29 15:00:00,2024-10-15 03:00:00
35095120,2005-04-16 12:00:00,2024-09-13 03:00:00
35185010,2005-08-23 18:00:00,2023-03-16 22:00:00
