CodEstacion,fecha_inicial,fecha_final
11025501,2016-06-02 14:35:00,2018-08-04 13:00:00
11105020,2005-01-01 01:24:00,2019-07-29 06:27:00
11115501,2017-10-04 14:55:00,2018-07-17 12:40:00
11135030,2005-09-05 01:00:00,2023-03-17 04:00:00
12015100,2005-01-01 04:30:00,2020-05-10 12:00:00
12015110,2005-01-01 01:00:00,2022-08-27 10:00:00
13085050,2005-05-13 18:00:00,2010-09-03 13:00:00
15075150,2005-01-01 03:00:00,2020-01-06 11:00:00
15085050,2005-04-04 10:00:00,2023-03-03 00:00:00
16015130,2006-09-25 10:00:00,2023-03-17 04:00:00
16015502,2016-05-26 12:50:00,2018-10-18 12:00:00
16025501,2016-06-15 15:35:00,2018-10-23 11:00:00
16025502,2016-06-15 14:50:00,2017-09-18 16:25:00
16025503,2016-06-02 14:35:00,2018-10-19 10:25:00
16035501,2016-06-16 08:35:00,2018-01-18 09:30:00
16055120,2006-09-25 10:00:00,2024-09-13 07:00:00
16055501,2016-06-02 14:35:00,2018-09-26 13:55:00
21015040,2005-06-30 19:00:00,2022-02-22 18:00:00
21015050,2005-06-27 19:00:00,2021-11-08 15:00:00
21015070,2005-06-27 19:00:00,2023-03-17 04:00:00
21015501,2016-06-15 17:05:00,2019-03-21 14:25:00
21015502,2016-06-16 08:30:00,2019-03-26 09:30:00
21035501,2016-06-02 14:30:00,2019-03-22 09:25:00
21045501,2016-06-15 16:30:00,2019-01-02 10:45:00
21055070,2005-11-13 01:00:00,2022-02-22 18:00:00
21055501,2016-06-16 08:30:00,2019-05-21 20:20:00
21065501,2018-05-24 09:35:00,2018-11-19 16:20:00
21085501,2016-06-16 08:30:00,2018-11-21 16:55:00
21105501,2016-06-15 14:30:00,2018-06-20 10:55:00
21115010,2005-06-21 18:00:00,2009-06-12 23:00:00
21115170,2005-06-30 19:00:00,2023-03-17 04:00:00
21115180,2005-06-29 10:00:00,2024-09-13 07:00:00
21115501,2016-06-16 04:20:00,2018-08-17 07:00:00
21165501,2016-06-15 15:30:00,2019-02-18 13:30:00
21165502,2016-06-16 08:35:00,2018-08-28 12:10:00
21185090,2016-10-19 15:00:00,2016-11-06 18:00:00
21185501,2016-06-16 08:35:00,2019-02-12 08:30:00
21195160,2006-07-30 12:00:00,2012-06-12 20:00:00
21195170,2005-07-12 11:00:00,2024-09-13 07:00:00
21195190,2008-06-25 17:00:00,2023-03-17 04:00:00
21195501,2016-06-02 14:35:00,2018-04-28 12:10:00
21205501,2016-06-02 14:35:00,2018-04-30 08:55:00
21205502,2016-06-02 14:35:00,2019-04-08 07:30:00
21206930,2005-01-01 01:00:00,2023-03-17 04:00:00
21206950,2005-06-20 19:00:00,2022-06-21 23:00:00
21206990,2005-01-20 11:36:00,2024-09-13 06:00:00
21215160,2005-10-25 19:00:00,2017-07-19 14:00:00
21215170,2005-10-27 14:00:00,2010-05-06 08:00:00
21215190,2006-12-01 17:00:00,2024-09-13 07:00:00
21215501,2016-06-02 14:20:00,2019-02-21 08:30:00
21255160,2016-10-05 18:00:00,2023-03-17 04:00:00
21255170,2002-03-18 00:48:00,2020-04-06 11:00:00
21255501,2016-05-26 14:50:00,2016-09-21 14:15:00
22025501,2016-05-28 00:30:00,2019-02-13 12:30:00
22045502,2016-06-15 15:35:00,2019-02-14 09:30:00
22075050,2009-06-11 10:00:00,2022-01-20 16:00:00
23015501,2016-06-15 16:20:00,2018-09-12 10:30:00
23025501,2016-06-15 16:20:00,2018-11-16 09:45:00
