CodEstacion,fecha_inicial,fecha_final
11030010,2018-05-04 13:00:00,2024-06-29 20:00:00
11035030,2018-02-08 01:00:00,2024-07-01 04:00:00
11045010,2018-05-01 19:00:00,2023-09-01 20:00:00
11050020,2018-05-04 11:00:00,2020-09-27 06:00:00
11080010,2018-05-04 23:00:00,2023-09-06 11:00:00
11105020,2005-08-31 12:00:00,2019-07-29 07:00:00
11115020,2016-12-22 11:00:00,2022-04-26 09:14:00
11120040,2018-05-01 19:00:00,2019-10-21 11:00:00
11135030,2005-09-05 01:00:00,2023-03-17 04:00:00
11155030,2022-10-24 17:00:00,2023-04-07 08:00:00
11159010,2007-04-12 12:00:00,2023-04-07 10:00:00
11175000,2018-05-01 19:00:00,2024-07-01 04:00:00
12015060,2016-12-22 12:00:00,2023-03-17 04:00:00
12015100,2005-01-01 04:30:00,2021-04-25 14:00:00
12015110,2011-12-05 01:00:00,2022-08-27 10:00:00
12025040,2016-12-21 11:00:00,2021-03-27 17:00:00
12045020,2016-12-30 13:00:00,2021-08-12 01:00:00
13035501,2015-05-30 13:00:00,2024-07-01 04:00:00
13055040,2005-01-01 07:59:05,2017-03-27 16:00:00
13085030,2017-04-20 19:00:00,2019-06-24 12:00:00
13085050,2005-01-01 00:00:00,2010-09-03 13:00:00
13095010,2006-07-31 19:00:00,2018-02-20 09:00:00
14015010,2016-12-28 12:00:00,2024-07-01 04:00:00
14015020,2014-09-02 17:00:00,2019-09-17 09:00:00
14015080,2019-09-17 11:00:00,2024-06-28 00:00:00
14017001,2010-07-09 09:00:00,2020-09-24 09:00:00
15015050,2022-03-15 16:00:00,2022-06-02 08:00:00
15015060,2017-04-17 17:00:00,2023-03-17 04:00:00
15015100,2021-06-03 08:00:00,2024-07-01 04:00:00
15015120,2007-08-14 11:00:00,2023-03-17 04:00:00
15035020,2019-03-05 15:00:00,2021-12-23 15:00:00
15065180,2014-12-11 16:00:00,2024-07-01 04:00:00
15065501,2015-05-25 12:00:00,2023-09-12 13:00:00
15075501,2014-08-20 17:00:00,2023-03-17 04:00:00
15079010,2017-10-10 11:00:00,2017-12-12 13:00:00
15085030,2016-12-28 17:00:00,2024-07-01 04:00:00
15085050,2005-04-04 10:00:00,2023-03-03 00:00:00
16015110,2005-09-09 18:00:00,2023-03-17 04:00:00
16015501,2015-10-05 11:00:00,2024-07-01 04:00:00
16025040,2017-06-19 11:00:00,2023-03-17 04:00:00
16035010,2017-08-19 12:00:00,2020-08-24 11:00:00
16035030,2017-08-19 12:00:00,2023-03-16 20:00:00
16040050,2017-07-01 11:00:00,2023-03-17 04:00:00
16055120,2006-09-25 10:00:00,2023-03-17 04:00:00
17015010,2014-06-27 12:00:00,2024-07-01 04:00:00
17017001,2012-10-02 11:00:00,2020-09-24 09:00:00
17025020,2021-06-03 08:00:00,2024-07-01 04:00:00
17035010,2007-05-09 17:00:00,2020-09-24 09:30:00
21015030,2019-03-05 15:00:00,2024-07-01 04:00:00
21015050,2005-06-27 19:00:00,2023-03-17 04:00:00
21015070,2005-06-27 19:00:00,2023-03-17 04:00:00
21025030,2023-02-04 14:00:00,2024-02-17 11:00:00
21035040,2023-02-04 15:00:00,2024-07-01 04:00:00
21045010,2023-02-05 15:00:00,2023-02-12 12:00:00
21050060,2023-02-04 13:00:00,2024-07-01 04:00:00
