CodEstacion,fecha_inicial,fecha_final
11105020,2006-01-01 05:59:05,2019-07-29 06:27:00
11135030,2011-03-10 01:00:00,2021-05-08 02:00:00
12015100,2011-01-01 01:00:00,2021-04-25 14:00:00
12015110,2011-12-05 01:00:00,2019-07-20 21:00:00
13085050,2006-06-04 09:00:00,2010-09-03 13:00:00
15075150,2006-01-01 05:00:00,2020-01-06 11:00:00
15085050,2006-01-01 05:00:00,2020-03-14 12:00:00
16055120,2006-09-25 10:00:00,2024-09-13 07:00:00
21015050,2006-01-01 05:00:00,2023-03-17 04:00:00
21015070,2006-01-01 05:00:00,2023-03-17 04:00:00
21115010,2006-01-01 05:00:00,2009-06-12 23:00:00
21115180,2006-01-01 05:00:00,2024-09-13 04:00:00
21185090,2016-10-19 15:00:00,2016-11-06 18:00:00
21195170,2006-01-01 05:00:00,2024-09-13 07:00:00
21195190,2008-06-25 17:00:00,2023-03-17 04:00:00
21202270,2015-02-05 11:16:00,2017-02-15 06:15:00
21206930,2006-01-01 05:00:00,2023-03-16 08:00:00
21206950,2006-01-01 05:00:00,2022-06-21 23:00:00
21206990,2006-01-01 05:00:00,2024-09-13 06:00:00
21215150,2006-03-05 07:12:00,2023-01-14 10:00:00
21255160,2016-10-05 18:00:00,2022-11-13 00:00:00
22025040,2007-11-21 18:00:00,2012-10-20 23:00:00
22075050,2016-10-16 13:00:00,2021-08-27 14:00:00
23085260,2006-01-01 05:00:00,2024-09-13 07:00:00
23105060,2006-04-12 19:00:00,2017-02-06 15:00:00
23195040,2022-05-24 11:00:00,2022-06-16 11:00:00
23195240,2006-01-01 05:00:00,2024-09-13 07:00:00
24015110,2016-10-05 15:00:00,2016-10-05 15:00:00
24025090,2006-01-02 01:00:00,2024-09-13 07:00:00
24035370,2006-12-03 19:00:00,2024-09-13 07:00:00
24035380,2006-12-11 15:00:00,2023-05-16 15:00:00
24035390,2006-01-01 05:00:00,2023-05-16 15:00:00
24035430,2006-01-01 05:00:00,2023-01-10 06:00:00
24055070,2006-01-01 05:00:00,2023-04-11 12:00:00
24055080,2006-01-01 05:00:00,2024-09-13 06:00:00
25025280,2010-04-17 18:00:00,2024-09-13 07:00:00
25025340,2011-05-23 01:00:00,2023-03-17 04:00:00
25027720,2021-06-08 09:00:00,2021-10-16 02:00:00
26015010,2016-11-25 12:21:00,2016-11-25 12:21:00
26015030,2008-11-21 17:00:00,2023-03-16 23:00:00
26035100,2006-01-01 05:00:00,2009-12-30 17:00:00
26055100,2006-11-22 13:00:00,2021-05-31 17:00:00
26055110,2006-01-01 05:00:00,2023-03-16 18:00:00
26095320,2006-01-01 05:00:00,2023-03-17 04:00:00
26105250,2006-01-01 05:00:00,2024-09-12 05:00:00
26135290,2006-01-01 05:00:00,2019-05-17 07:00:00
26135300,2006-01-01 05:00:00,2023-03-17 00:00:00
26135320,2018-10-10 21:00:00,2022-05-09 12:00:00
26145090,2011-04-29 18:00:00,2023-03-17 03:00:00
26155240,2007-11-16 18:00:00,2022-09-08 13:00:00
26155250,2018-10-10 21:00:00,2022-07-12 16:00:00
26155270,2018-06-21 10:00:00,2022-07-14 11:00:00
26157190,2018-06-21 10:00:00,2023-03-17 04:00:00
26157200,2018-06-22 11:00:00,2018-10-31 16:00:00
26225060,2006-01-01 10:48:00,2024-09-13 07:00:00
27015280,2006-01-01 08:00:00,2024-09-13 07:00:00
27015320,2006-01-01 05:00:00,2024-09-13 07:00:00
28025120,2007-03-22 16:00:00,2021-10-15 19:00:00
29015040,2006-02-28 17:00:00,2024-09-12 02:00:00
29045000,2020-10-21 15:30:00,2020-10-23 06:00:00
29045150,2006-01-01 05:00:00,2010-01-31 15:00:00
29065130,2008-10-29 11:00:00,2023-01-24 09:00:00
29065140,2017-03-07 16:00:00,2019-10-28 12:00:00
35020300,2021-09-22 20:00:00,2024-10-15 04:00:00
35025080,2007-11-16 16:00:00,2023-03-17 04:00:00
35025110,2009-10-18 01:00:00,2024-09-13 07:00:00
35035130,2010-08-05 08:00:00,2024-09-13 07:00:00
35075070,2017-01-01 10:00:00,2024-09-13 02:00:00
35075080,2006-08-27 18:00:00,2023-03-17 04:00:00
35095120,2006-01-01 05:00:00,2024-09-13 07:00:00
35185010,2006-01-01 05:00:00,2023-03-17 04:00:00
35260050,2021-02-18 12:00:00,2023-12-19 09:00:00
36015020,2006-01-01 05:00:00,2023-03-17 04:00:00
37015030,2006-01-01 05:00:00,2024-09-13 07:00:00
46015030,2016-10-20 10:00:00,2016-10-20 10:00:00
47035030,2007-08-21 09:00:00,2020-09-24 08:37:00
48015040,2007-05-18 16:00:00,2024-08-06 10:00:00
51025060,2006-01-01 05:00:00,2019-10-06 17:00:00
52055150,2006-01-01 05:00:00,2023-03-17 04:00:00
52055160,2019-07-24 16:00:00,2020-05-05 02:00:00
52055210,2006-01-01 05:00:00,2024-09-13 07:00:00
52055220,2006-01-01 05:00:00,2023-03-16 19:00:00
53075020,2006-01-01 05:00:00,2020-12-23 20:00:00
55015010,2006-10-14 11:00:00,2020-03-21 14:00:00
57025020,2006-03-05 15:00:00,2019-10-28 16:00:00
3526500201,2021-02-18 12:00:00,2024-10-15 04:00:00
