Unnamed: 0;station;lat;long;entidad;FreqInf;AO;Altitud
0;11030010;5.38;-76.61;IDEAM;h;9;92
1;11035030;5.284827778;-76.62782222;IDEAM;h;9;102
2;11045010;5.690555556;-76.64377778;IDEAM;h;1;53
3;11050020;5.994722222;-76.78002778;IDEAM;h;1;25
4;11080010;6.559166667;-76.88541667;IDEAM;h;1;18
5;11105020;7.154333333;-76.97719444;IDEAM;h;1;6
6;11115020;6.758027778;-76.02966667;IDEAM;h;1;1271
7;11120040;7.439444444;-77.11527778;IDEAM;h;1;3
8;11135030;8.036722222;-77.08786111;IDEAM;h;1;10
9;11155030;8.61625;-77.32819444;IDEAM;h;1;5
10;11159010;8.62;-77.33;IDEAM;h;1;26
11;11175000;5.585776;-76.649978;IDEAM;h;1;42
12;12015060;7.77;-76.67;IDEAM;h;1;32
13;12015100;7.94075;-76.69616667;IDEAM;h;1;7
14;12015110;7.671138889;-76.69405556;IDEAM;h;1;31
15;12025040;8.091805556;-76.71633333;IDEAM;h;1;8
16;12045020;9.071111111;-76.22444444;IDEAM;h;2;9
17;13015040;8.014166667;-76.20305556;IDEAM;h;2;130
18;13075010;9.15075;-75.62208333;IDEAM;h;2;11
19;13035501;8.825833333;-75.82513889;IDEAM;h;2;11
20;13055040;8.746944444;-75.91388889;IDEAM;h;2;13
21;13085030;9.37;-75.95;IDEAM;h;2;3
22;13085050;9.252722222;-75.84441667;IDEAM;h;2;28
23;13095010;9.383333333;-75.66666667;IDEAM;h;2;14
24;14015010;10.79416667;-75.26055556;IDEAM;h;2;4
25;14015020;10.447;-75.516;IDEAM;h;2;5
26;14015080;10.44725;-75.51602778;IDEAM;h;2;6
27;14017001;10.23491667;-75.74055;INVEMAR;h;;0
28;15015050;11.1146944;-74.23102778;IDEAM;h;5;0
29;15015060;11.11108333;-74.05469444;IDEAM;h;5;2267
30;15015100;11.31;-73.93;IDEAM;h;5;2
31;15015120;11.22305556;-74.18591667;IDEAM;h;5;19
32;15035020;11.2525;-73.41138889;IDEAM;h;5;3
33;15065180;11.5284444;-72.91772222;IDEAM;h;5;12
34;15065501;11.13758333;-72.61594444;IDEAM;h;5;101
35;15075501;12.22430556;-71.98288889;IDEAM;h;5;23
36;15079010;12.22427778;-71.96766667;IDEAM;h;5;3
37;15085030;11.21675;-72.35994444;IDEAM;h;5;118
38;15085050;12.08352778;-71.21094444;IDEAM;h;5;165
39;16015110;7.898777778;-72.48716667;IDEAM;h;8;296
40;16015501;7.93028;-72.50917;IDEAM;h;8;309
41;16025040;8.16728;-72.47878;IDEAM;h;8;96
42;16035010;8.638333333;-72.72666667;IDEAM;h;8;57
43;16035030;8.076666667;-72.80305556;IDEAM;h;8;308
44;16040050;7.93485;-73.21358;IDEAM;h;8;1918
45;16055120;8.22769;-73.3975;IDEAM;h;8;1668
46;17015010;12.587849;-81.701117;IDEAM;h;5;0
47;17017001;12.59930556;-81.68936083;INVEMAR;h;5;0
48;17025020;13.3595;-81.35772194;IDEAM;h;5;0
49;17035010;15.7975;-79.85222194;IDEAM;h;5;0
50;21015030;1.888472222;-76.29497222;IDEAM;h;4;1754
51;21015050;1.925916667;-76.42755556;IDEAM;h;4;1975
52;21015070;1.675833;-76.106841;IDEAM;h;4;1946
53;21025030;2.079166667;-75.73622222;IDEAM;h;4;1339
54;21035040;1.87;-75.83;IDEAM;h;4;1040
55;21045010;2.281583333;-75.70508333;IDEAM;h;4;782
56;21050060;2.199055556;-75.97227778;IDEAM;h;4;1542
57;21050090;2.551444444;-75.8065;IDEAM;h;4;1573
58;21055020;2.38;-75.89;IDEAM;h;4;1029
59;21065040;2.2525;-75.52944444;IDEAM;h;4;1306
60;21085030;2.76;-75.58;IDEAM;h;4;1208
61;21095010;2.828805556;-75.33116667;IDEAM;h;4;488
62;21105030;2.52;-75.31999722;IDEAM;h;4;997
63;21105040;2.696805556;-75.29888889;IDEAM;h;4;666
64;21105050;2.603055556;-75.41833333;IDEAM;h;4;592
65;21115010;3.234472222;-75.16819444;IDEAM;h;4;449
66;21115100;2.942638889;-75.06638889;IDEAM;h;4;1181
67;21115180;3.133055556;-75.08152778;IDEAM;h;4;548
68;21125010;2.935694444;-75.58905556;IDEAM;h;4;1343
69;21130050;3.243555556;-75.25594444;IDEAM;h;4;396
70;21135020;3.855833333;-75.01572222;IDEAM;h;10;314
71;21140120;3.425861111;-74.92025;IDEAM;h;4;1490
72;21145080;3.589777778;-74.70294444;IDEAM;h;4;1471
73;21185030;4.008833333;-74.98138889;IDEAM;h;10;324
74;21185080;4.216458333;-75.10461111;IDEAM;h;10;585
75;21185090;4.188138889;-74.96047222;IDEAM;h;10;368
76;21195120;4.39292;-74.39272;IDEAM;h;11;1423
77;21195170;3.993611111;-74.39805556;IDEAM;h;11;3059
78;21195190;4.307188889;-74.30839889;IDEAM;h;11;2183
79;21195502;4.144691669999999;-74.42774722;CAR;h;;1926
80;21197430;4.36666667;-74.3;CAR;h;;2427
81;21205012;4.63723;-74.08892;IDEAM;h;11;2551
82;21205480;5.03333333;-73.71666667;CAR;10min;;2704
83;21205503;4.52269444;-74.40608333;CAR;h;;2040
84;21205505;4.97011111;-73.91827778;CAR;h;;2551
85;21205506;5.02505556;-74.15277778;CAR;h;;3241
86;21205507;4.72988889;-74.43080556;CAR;h;;1670
87;21205509;4.39666778;-74.6283125;CAR;10min;;380
88;21205511;5.00111111;-73.73333333;CAR;10min;;2763
89;21205512;4.469316389999999;-74.07945417;CAR;10min;;3166
90;21205513;4.504576670000001;-74.18418667;CAR;10min;;3105
91;21205514;4.469316389999999;-74.07945417;CAR;10min;;3166
92;21205515;4.700288889999999;-74.17378611;CAR;10min;;2543
93;21205516;5.17269444;-73.85177778;CAR;10min;;2917
94;21205517;4.78815722;-74.05005889;CAR;10min;;2556
95;21205518;5.17136111;-74.01566667;CAR;10min;;3276
96;21205519;4.45211111;-74.27228806;CAR;10min;;2838
97;21205521;4.73780972;-73.93579389;CAR;10min;;2997
98;21205522;4.91832167;-74.02864944;CAR;10min;;2559
99;21205523;4.78815722;-74.05005889;CAR;10min;;2556
100;21205524;5.07475;-74.05747222;CAR;10min;;3047
101;21205525;5.22880556;-73.58475;CAR;10min;;2834
102;21205526;4.69052778;-74.38905556;CAR;10min;;2079
