;Station;lat;long;entidad;FreqInf;Observ;RASTERVALU;RegsNat;RP_ACP;LimInfRP
0;11025501;5.88871944;-76.14516667;CENICAFE;5T;;1649;Andina;11;7.150661486
1;11030010;5.38;-76.61;IDEAM;H;;92;Pacífico;10;36.58247136
2;11035030;5.284827778;-76.62782222;IDEAM;H;;102;Pacífico;10;36.58247136
3;11045010;5.690555556;-76.64377778;IDEAM;H;;53;Pacífico;10;36.58247136
4;11050020;5.994722222;-76.78002778;IDEAM;H;;25;Pacífico;10;36.58247136
5;11080010;6.559166667;-76.88541667;IDEAM;H;;18;Pacífico;10;36.58247136
6;11105020;7.154333333;-76.97719444;IDEAM;H;;6;Pacífico;9;25.39885909
7;11115020;6.758027778;-76.02966667;IDEAM;H;;1271;Andina;11;7.150661486
8;11115501;6.748275;-76.03155556;CENICAFE;5T;;1450;Andina;11;7.150661486
9;11120040;7.439444444;-77.11527778;IDEAM;H;;3;Pacífico;10;36.58247136
10;11135030;8.036722222;-77.08786111;IDEAM;H;;10;Pacífico;9;25.39885909
11;11155030;8.61625;-77.32819444;IDEAM;H;;5;Pacífico;9;25.39885909
12;11159010;8.62;-77.33;IDEAM;H;;26;Pacífico;9;25.39885909
13;11175000;5.585776;-76.649978;IDEAM;H;;42;Pacífico;10;36.58247136
14;12015060;7.77;-76.67;IDEAM;H;;32;Andina;6;15.46150028
15;12015100;7.94075;-76.69616667;IDEAM;H;Inicial 5T, luego H;7;Caribe;6;15.46150028
16;12015110;7.671138889;-76.69405556;IDEAM;H;;31;Andina;6;15.46150028
17;12025040;8.091805556;-76.71633333;IDEAM;H;;8;Caribe;6;15.46150028
18;12045020;9.071111111;-76.22444444;IDEAM;H;;9;Caribe;6;15.46150028
19;13035501;8.825833333;-75.82513889;IDEAM;H;;11;Caribe;6;15.46150028
20;13055040;8.746944444;-75.91388889;IDEAM;H;;13;Caribe;6;15.46150028
21;13085030;9.37;-75.95;IDEAM;H;;3;Caribe;6;15.46150028
22;13085050;9.252722222;-75.84441667;IDEAM;H;Inicia 15T, luego H;28;Caribe;6;15.46150028
23;13095010;9.383333333;-75.66666667;IDEAM;H;;14;Caribe;6;15.46150028
