Unnamed: 0,Station,lat,long,entidad,FreqInf
0,11105020,7.154333333,-76.97719444,IDEAM,h
1,11135030,8.036722222,-77.08786111,IDEAM,h
2,12015100,7.94075,-76.69616667,IDEAM,h
3,12015110,7.671138889,-76.69405556,IDEAM,h
4,13085050,9.252722222,-75.84441667,IDEAM,h
5,15075150,11.59494444,-72.32575,IDEAM,h
6,15085050,12.08352778,-71.21094444,IDEAM,h
7,16055120,8.22769,-73.3975,IDEAM,h
8,21015050,1.925916667,-76.42755556,IDEAM,h
9,21015070,1.675833,-76.106841,IDEAM,h
10,21115010,3.234472222,-75.16819444,IDEAM,h
11,21115180,3.133055556,-75.08152778,IDEAM,h
12,21185090,4.188138889,-74.96047222,IDEAM,h
13,21195170,3.993611111,-74.39805556,IDEAM,h
14,21195190,4.307188889,-74.308398889,IDEAM,h
15,21202270,,,,min
16,21206930,5.08644,-74.02217,IDEAM,h
17,21206950,5.236055556,-73.52508333,IDEAM,h
18,21206990,4.68863,-74.20559,IDEAM,h
19,21215150,4.670777778,-75.32777778,IDEAM,h
20,21255160,4.760722222,-74.83425,IDEAM,h
21,22025040,2.98,-76.06,IDEAM,h
22,22075050,4.075805556,-75.70083333,IDEAM,h
23,23085260,6.131916667,-75.41455556,IDEAM,h
24,23105060,6.774111111,-74.79652778,IDEAM,h
25,23195040,7.144722222,-73.12222222,IDEAM,h
26,23195240,8.123416667,-73.57986111,IDEAM,h
27,24015110,5.303805556,-73.85175,IDEAM,h
28,24025090,6.47,-72.96888889,IDEAM,h
29,24035370,6.50675,-72.45275,IDEAM,h
30,24035380,6.50911,-72.31417,IDEAM,h
31,24035390,6.94539,-72.69633,IDEAM,h
32,24035430,5.74583,-73.11636,IDEAM,h
33,24055070,6.82339,-73.47206,IDEAM,h
34,24055080,6.98297,-73.70489,IDEAM,h
35,25025280,9.357083333,-75.28925,IDEAM,h
36,25025340,8.596833333,-75.14269444,IDEAM,h
37,25027720,9.133916667,-73.77280556,IDEAM,h
38,26015010,2.474833056,-76.58129361,IDEAM,h
39,26015030,2.356848889,-76.403544444,IDEAM,h
40,26035100,2.479555556,-76.82775,IDEAM,h
41,26055100,3.416055556,-76.6515,IDEAM,h
42,26055110,3.185361111,-76.569305556,IDEAM,h
43,26095320,3.360416667,-76.300005556,IDEAM,h
44,26105250,4.689777778,-75.92519444,IDEAM,h
45,26135290,4.929583333,-75.73838889,IDEAM,h
46,26135300,4.728583056,-75.578222222,IDEAM,h
47,26135320,4.802611111,-75.380472222,IDEAM,h
48,26145090,5.207472222,-75.90294444,IDEAM,h
49,26155240,4.859444444,-75.38241667,IDEAM,h
50,26155250,4.829805556,-75.37583333,IDEAM,h
51,26155270,4.886611111,-75.428972222,IDEAM,h
52,26157190,4.900916667,-75.45111111,IDEAM,h
53,26157200,4.860222222,-75.37463889,IDEAM,h
54,26225060,6.533916667,-75.82733333,IDEAM,h
55,27015280,6.632027778,-75.64444444,IDEAM,h
56,27015320,6.78,-75.56,IDEAM,h
57,28025120,10.02908333,-73.04619444,IDEAM,h
58,29015040,9.72,-75.11,IDEAM,h
59,29045000,10.63672222,-74.91888889,IDEAM,h
60,29045150,7.746027778,-76.4325,IDEAM,h
61,29065130,10.85,-74.13333333,IDEAM,h
62,29065140,10.452,-73.97338333,IDEAM,h
63,35020300,4.253916667,-74.00269444,IDEAM,h
64,35025080,4.661,-73.82733,IDEAM,h
65,35025110,4.057361111,-73.46791667,IDEAM,h
66,35035130,4.713666667,-73.80325,IDEAM,h
67,35075070,5.21639,-73.34697,IDEAM,h
68,35075080,5.39239,-73.56278,IDEAM,h
69,35095120,5.55663,-72.88175,IDEAM,h
70,35185010,4.260361111,-72.56447222,IDEAM,h
71,35260050,5.561361111,-70.28063889,IDEAM,h
72,36015020,5.816194444,-71.41983333,IDEAM,h
73,37015030,7.187,-72.8685,IDEAM,h
74,46015030,2.063,-74.76269444,IDEAM,h
75,47035030,-0.173722222,-74.89813889,IDEAM,h
76,48015040,-3.780305556,-70.36263889,IDEAM,h
77,51025060,1.408638889,-78.28161111,IDEAM,h
78,52055150,0.843111111,-77.38880556,IDEAM,h
79,52055160,0.846583333,-77.92122222,IDEAM,h
80,52055210,1.16,-77.27880556,IDEAM,h
81,52055220,1.070707855,-77.636935689,IDEAM,h
82,53075020,2.311416667,-77.25877778,IDEAM,h
83,55015010,5.521083333,-76.97316667,IDEAM,h
84,57025020,2.962944444,-78.17436111,IDEAM,h
85,3526500201,5.480888889,-70.421305556,IDEAM,h
