;Station;FreqInf
0;11105020;h
1;11135030;h
2;12015100;h
3;12015110;h
4;13085050;h
5;15075150;h
6;15085050;h
7;16055120;h
8;21015050;h
9;21015070;h
10;21115010;h
11;21115180;h
12;21185090;h
13;21195170;h
14;21195190;h
15;21202270;min
16;21206930;h
17;21206950;h
18;21206990;h
19;21215150;h
20;21255160;h
21;22025040;h
22;22075050;h
23;23085260;h
24;23105060;h
25;23195040;h
26;23195240;h
27;24015110;h
28;24025090;h
29;24035370;h
30;24035380;h
31;24035390;h
32;24035430;h
33;24055070;h
34;24055080;h
35;25025280;h
36;25025340;h
37;25027720;h
38;26015010;h
39;26015030;h
40;26035100;h
41;26055100;h
42;26055110;h
43;26095320;h
44;26105250;h
45;26135290;h
46;26135300;h
47;26135320;h
48;26145090;h
49;26155240;h
50;26155250;h
51;26155270;h
52;26157190;h
53;26157200;h
54;26225060;h
55;27015280;h
56;27015320;h
57;28025120;h
58;29015040;h
59;29045000;h
60;29045150;h
61;29065130;h
62;29065140;h
63;35020300;h
64;35025080;h
65;35025110;h
66;35035130;h
67;35075070;h
68;35075080;h
69;35095120;h
70;35185010;h
71;35260050;h
72;36015020;h
73;37015030;h
74;46015030;h
75;47035030;h
76;48015040;h
77;51025060;h
78;52055150;h
79;52055160;h
80;52055210;h
81;52055220;h
82;53075020;h
83;55015010;h
84;57025020;h
85;3526500201;h
