Unnamed: 0;Station;lat;long;entidad;FreqInf;Observ_freqs
0;11105020;7.154333333;-76.97719444;IDEAM;h;
1;11135030;8.036722222;-77.08786111;IDEAM;h;
2;12015100;7.94075;-76.69616667;IDEAM;h;
3;12015110;7.671138889;-76.69405556;IDEAM;h;
4;13085050;9.252722222;-75.84441667;IDEAM;h;
5;15085050;12.08352778;-71.21094444;IDEAM;h;
6;16055120;8.22769;-73.3975;IDEAM;h;
7;21015050;1.925916667;-76.42755556;IDEAM;h;
8;21015070;1.675833;-76.106841;IDEAM;h;
9;21115010;3.234472222;-75.16819444;IDEAM;h;
10;21115180;3.133055556;-75.08152778;IDEAM;h;
11;21195170;3.993611111;-74.39805556;IDEAM;h;
12;21195190;4.307188889;-74.30839889;IDEAM;h;
13;21201200;4.34264;-74.18381;IDEAM;h;Alternado
14;21201580;4.44647201;-74.154839;IDEAM;h;Alternado
15;21201980;4.59157;-74.05471;FOPAE;min;
16;21202180;4.54311;-74.15601;FOPAE;min;
17;21202190;4.51872;-74.08867;FOPAE;min;
18;21202220;4.62789;-74.0587;FOPAE;min;
19;21202230;4.48152;-74.12708;FOPAE;min;
20;21202240;4.63546;-74.05746;FOPAE;min;
21;21202250;4.50082;-74.13739;FOPAE;min;
22;21206780;4.619272;-74.194594;FOPAE;min;
23;21206810;4.56365303;-74.13845;EP;min;
24;21206890;4.66577;-74.02861;FOPAE;min;
25;21206900;4.44914;-74.10792;FOPAE;min;
26;21206930;5.08644;-74.02217;IDEAM;h;
27;21206950;5.236055556;-73.52508333;IDEAM;h;
28;21206990;4.68863;-74.20559;IDEAM;h;
29;21208480;4.61104201;-74.178333;EAAB;min;
30;22075050;4.075805556;-75.70083333;IDEAM;h;
31;23195240;8.123416667;-73.57986111;IDEAM;h;
32;24015110;5.303805556;-73.85175;IDEAM;h;
33;24035370;6.50675;-72.45275;IDEAM;h;
34;24035390;6.94539;-72.69633;IDEAM;h;
35;24035430;5.74583;-73.11636;IDEAM;h;
36;24055070;6.82339;-73.47206;IDEAM;h;
37;24055080;6.98297;-73.70489;IDEAM;h;
38;25025340;8.596833333;-75.14269444;IDEAM;h;
39;25027720;9.133916667;-73.77280556;IDEAM;h;
40;26015030;2.356848889;-76.40354444;IDEAM;h;
41;26035100;2.479555556;-76.82775;IDEAM;h;
42;26055100;3.416055556;-76.6515;IDEAM;h;
43;26055110;3.185361111;-76.56930556;IDEAM;h;
44;26095320;3.360416667;-76.30000556;IDEAM;h;
45;26105250;4.689777778;-75.92519444;IDEAM;h;
46;26135290;4.929583333;-75.73838889;IDEAM;h;
47;26135300;4.728583056;-75.57822222;IDEAM;h;
48;26145090;5.207472222;-75.90294444;IDEAM;h;
49;26155240;4.859444444;-75.38241667;IDEAM;h;
50;27015280;6.632027778;-75.64444444;IDEAM;h;
51;28025120;10.02908333;-73.04619444;IDEAM;h;
52;29045150;7.746027778;-76.4325;IDEAM;h;
53;35020300;4.253916667;-74.00269444;IDEAM;h;
54;35025080;4.661;-73.82733;IDEAM;h;
55;35025110;4.057361111;-73.46791667;IDEAM;h;
56;35035130;4.713666667;-73.80325;IDEAM;h;
57;35075070;5.21639;-73.34697;IDEAM;h;
58;35075080;5.39239;-73.56278;IDEAM;h;
59;35095120;5.55663;-72.88175;IDEAM;h;
60;35185010;4.260361111;-72.56447222;IDEAM;h;
61;35260050;5.561361111;-70.28063889;IDEAM;h;
62;36015020;5.816194444;-71.41983333;IDEAM;h;
63;37015030;7.187;-72.8685;IDEAM;h;
64;47035030;-0.173722222;-74.89813889;IDEAM;h;
65;48015040;-3.780305556;-70.36263889;IDEAM;h;
66;51025060;1.408638889;-78.28161111;IDEAM;h;
67;52055150;0.843111111;-77.38880556;IDEAM;h;
68;52055160;0.846583333;-77.92122222;IDEAM;h;
69;52055210;1.16;-77.27880556;IDEAM;h;
70;52055220;1.070707855;-77.63693569;IDEAM;h;
71;53075020;2.311416667;-77.25877778;IDEAM;h;
72;55015010;5.521083333;-76.97316667;IDEAM;h;
73;57025020;2.962944444;-78.17436111;IDEAM;h;
74;2120000104;4.81326;-74.03146;IDIGER;min;
75;2120000105;4.763457;-74.021772;IDIGER;min;
76;2120000106;4.5117;-74.16352222;IDIGER;min;
77;2120000107;4.53602;-74.10654;IDIGER;min;
78;2120000133;4.56144;-74.07482;IDIGER;min;
79;2120000142;4.63537;-74.20541;IDIGER;min;
80;2120000172;4.75947;-74.02752;IDIGER;min;
81;2120500201;4.57515;-74.07175;IDIGER;min;
82;2120500203;4.53335;-74.12513;IDIGER;min;
83;2120700037;4.556439;-74.125173;IDIGER;min;
84;2120700038;4.56235;-74.148869;IDIGER;min;
85;2120700154;4.55322;-74.10789;IDIGER;min;
86;3526500201;5.480888889;-70.42130556;IDEAM;h;
