,Station,FreqInf
0,11105020,
1,11135030,h
2,12015100,
3,12015110,h
4,13085050,
5,15085050,
6,16055120,
7,21015050,h
8,21015070,h
9,21115010,
10,21115180,h
11,21195170,h
12,21195190,h
13,21201200,
14,21201580,
15,21201980,
16,21202180,
17,21202190,
18,21202220,
19,21202230,
20,21202240,
21,21202250,
22,21206780,
23,21206810,
24,21206890,
25,21206900,
26,21206930,h
27,21206950,
28,21206990,h
29,21208480,
30,22075050,h
31,23195240,
32,24035370,h
33,24035390,h
34,24035430,h
35,24055070,
36,24055080,
37,25025340,h
38,25027720,h
39,26015030,
40,26035100,
41,26055100,
42,26055110,h
43,26095320,h
44,26105250,
45,26135290,
46,26135300,
47,26145090,
48,26155240,
49,27015280,
50,28025120,
51,29045150,
52,35020300,
53,35025080,
54,35025110,
55,35035130,h
56,35075070,h
57,35075080,h
58,35095120,h
59,35185010,
60,35260050,
61,36015020,h
62,37015030,h
63,47035030,h
64,48015040,
65,51025060,h
66,52055150,h
67,52055160,h
68,52055210,h
69,52055220,
70,53075020,h
71,55015010,
72,57025020,
73,2120000104,
74,2120000105,
75,2120000106,
76,2120000107,
77,2120000133,
78,2120000142,
79,2120000172,
80,2120500201,
81,2120500203,
82,2120700037,
83,2120700038,
84,2120700154,
85,3526500201,
