;Station;FreqInf
0;11025501;5min
1;11105020;
2;11115501;5min
3;11135030;
4;12015100;
5;12015110;
6;13085050;
7;15075150;
8;15085050;
9;16015130;h
10;16015502;5min
11;16025501;5min
12;16025502;5min
13;16025503;
14;16035501;5min
15;16055120;
16;16055501;5min
17;21015040;h
18;21015050;
19;21015070;h
20;21015501;5min
21;21015502;
22;21035501;5min
23;21045501;5min
24;21055070;h
25;21055501;5min
26;21065501;5min
27;21085501;5min
28;21105501;5min
29;21115010;
30;21115170;h
31;21115180;h
32;21115501;5min
33;21165501;5min
34;21165502;5min
35;21185090;h
36;21185501;5min
37;21195160;h
38;21195170;h
39;21195190;h
40;21195501;
41;21205501;5min
42;21205502;5min
43;21206930;h
44;21206950;
45;21206990;h
46;21215160;
47;21215170;
48;21215190;h
49;21215501;5min
50;21255160;
51;21255170;h
52;21255501;5min
53;22025501;5min
54;22045502;5min
55;22075050;h
56;23015501;5min
57;23025501;5min
58;23025502;
59;23055501;5min
60;23055502;5min
61;23065180;
62;23065190;h
63;23065501;5min
64;23065502;5min
65;23065503;5min
66;23085260;h
67;23085501;5min
68;23105060;
69;23105070;h
70;23125160;h
71;23125170;h
72;23125501;5min
73;23195040;h
74;23195190;
75;23195240;
76;23195501;5min
77;24015501;5min
78;24015502;5min
79;24015503;5min
80;24025090;h
81;24025501;5min
82;24035360;h
83;24035370;h
84;24035390;h
85;24035430;h
86;24035501;5min
87;24055070;
88;24055080;h
89;25025280;
90;25025340;h
91;26015030;h
92;26035090;
93;26035100;
94;26035501;
95;26055100;
96;26055110;
97;26055501;5min
98;26065501;5min
99;26065502;
100;26075120;
101;26075501;
102;26085160;h
103;26085501;5min
104;26095320;h
105;26105240;
106;26105250;
107;26115090;
108;26115501;5min
109;26125300;h
110;26125501;
111;26125502;5min
112;26125503;
113;26125504;5min
114;26125505;5min
115;26125506;5min
116;26125507;
117;26125508;5min
118;26125509;5min
119;26135290;
120;26135300;
121;26135310;
122;26135501;5min
123;26135502;5min
124;26135503;5min
125;26145090;
126;26145501;5min
127;26145504;5min
128;26155230;
129;26155240;
130;26155502;5min
131;26155503;
132;26155505;5min
133;26165501;
134;26165502;5min
135;26175501;5min
136;26175502;5min
137;26185030;h
138;26185050;
139;26185501;
140;26195501;5min
141;26195502;5min
142;26205501;5min
143;26215501;5min
144;26225060;h
145;26255030;h
146;27015280;
147;27015290;h
148;27015320;h
149;27015501;5min
150;28025120;
151;28025501;5min
152;28035070;
153;28045501;5min
154;29015040;h
155;29035200;
156;29045150;
157;29065120;h
158;29065130;h
159;29065501;
160;32075501;
161;35020300;
162;35025080;h
163;35025110;
164;35025501;5min
165;35035110;h
166;35035130;
167;35075070;h
168;35075080;h
169;35085060;h
170;35085070;
171;35085080;h
172;35095120;h
173;35185010;
174;35260050;
175;36015020;
176;36015501;5min
177;37015030;h
178;37015501;5min
179;44015070;
180;44035040;
181;44035501;5min
182;47035030;
183;48015040;h
184;51025060;h
185;51025080;
186;52015050;
187;52015501;5min
188;52025090;h
189;52025501;5min
190;52035501;5min
191;52055150;
192;52055160;h
193;52055170;h
194;52055210;h
195;52055220;
196;52055501;5min
197;52055502;5min
198;53075020;h
199;53115501;5min
200;53115502;5min
201;54035501;5min
202;55015010;
203;57025020;
204;3526500201;
