Unnamed: 0;station;lat;long;entidad;FreqInf
0;11025501;5.888719444;-76.14516667;CENICAFE;5min
1;11105020;7.154333333;-76.97719444;IDEAM;h
2;11115501;6.748275;-76.03155556;CENICAFE;5min
3;11135030;8.036722222;-77.08786111;IDEAM;h
4;12015100;7.94075;-76.69616667;IDEAM;h
5;12015110;7.671138889;-76.69405556;IDEAM;h
6;13085050;9.252722222;-75.84441667;IDEAM;h
7;15085050;12.08352778;-71.21094444;IDEAM;h
8;16015130;7.506722222;-72.48536111;IDEAM;h
9;16015502;7.564997222;-72.62110833;CENICAFE;5min
10;16025501;7.519455556;-72.79790278;CENICAFE;5min
11;16025502;7.739166667;-72.78055278;CENICAFE;5min
12;16025503;7.923163889;-72.83375556;CENICAFE;5min
13;16035501;8.151169444;-72.86776667;CENICAFE;5min
14;16055120;8.22769;-73.3975;IDEAM;h
15;16055501;8.412497222;-73.33944167;CENICAFE;5min
16;21015040;2.021583333;-76.11433333;IDEAM;h
17;21015050;1.925916667;-76.42755556;IDEAM;h
18;21015070;1.675833;-76.106841;IDEAM;h
19;21015501;1.777527778;-76.19163889;CENICAFE;5min
20;21015502;1.851416667;-76.30433056;CENICAFE;5min
21;21035501;1.763191667;-75.93224722;CENICAFE;5min
22;21045501;2.041941667;-76.01191667;CENICAFE;5min
23;21055070;2.548194444;-76.06394444;IDEAM;h
24;21055501;2.345830556;-75.87805556;CENICAFE;5min
25;21065501;2.325552778;-75.50972222;CENICAFE;5min
26;21085501;2.762997222;-75.61144167;CENICAFE;5min
27;21105501;2.595027778;-75.22852778;CENICAFE;5min
28;21115010;3.234472222;-75.16819444;IDEAM;h
29;21115170;2.759138889;-75.07455556;IDEAM;h
30;21115180;3.133055556;-75.08152778;IDEAM;h
31;21115501;2.960666667;-75.02849722;CENICAFE;5min
32;21165501;3.537155556;-74.82982778;CENICAFE;5min
33;21165502;3.955641667;-74.59178611;CENICAFE;5min
34;21185501;4.266666667;-75.28305556;CENICAFE;5min
35;21195160;4.476611111;-74.38388889;IDEAM;h
36;21195170;3.993611111;-74.39805556;IDEAM;h
37;21195190;4.307188889;-74.30839889;IDEAM;h
38;21195501;4.363052778;-74.43527778;CENICAFE;5min
39;21205501;4.718611111;-74.45527778;CENICAFE;5min
40;21205502;4.544997222;-74.44055556;CENICAFE;5min
41;21205970;5.0905;-73.88125;IDEAM;h
42;21206790;5.0905;-73.88125;IDEAM;h
43;21206930;5.08644;-74.02217;IDEAM;h
44;21206950;5.236055556;-73.52508333;IDEAM;h
45;21206990;4.68863;-74.20559;IDEAM;h
46;21215160;4.470361111;-75.24386111;IDEAM;h
47;21215170;4.402;-75.22905556;IDEAM;h
48;21215190;4.435666667;-75.50036111;IDEAM;h
49;21215501;4.45;-75.25;CENICAFE;5min
50;21255170;4.870555556;-75.17327778;IDEAM;h
51;21255501;4.895;-75.04;CENICAFE;5min
52;22025501;3.416666667;-75.63305556;CENICAFE;5min
53;22045502;3.95;-75.66666667;CENICAFE;5min
54;22075050;4.075805556;-75.70083333;IDEAM;h
55;23015501;5.155638889;-75.00313611;CENICAFE;5min
56;23025501;5.163913889;-75.11740833;CENICAFE;5min
57;23025502;5.044997222;-75.33221944;CENICAFE;5min
58;23055501;5.317497222;-74.99610833;CENICAFE;5min
59;23055502;5.383333333;-75.06638889;CENICAFE;5min
60;23065180;5.016861111;-74.47097222;IDEAM;h
61;23065190;5.137611111;-74.48125;IDEAM;h
62;23065501;5.129127778;-74.15769722;CENICAFE;5min
63;23065502;5.330266667;-74.40156111;CENICAFE;5min
64;23065503;4.95;-74.4;CENICAFE;5min
65;23085501;6.061941667;-75.18666667;CENICAFE;5min
66;23105070;6.571638889;-74.79472222;IDEAM;h
67;23115010;5.978333333;-74.56666667;IDEAM;h
68;23125170;5.333333333;-74.01666667;IDEAM;h
69;23125501;5.657130556;-73.96032778;CENICAFE;5min
70;23195040;7.144722222;-73.12222222;IDEAM;h
71;23195190;7.099527778;-73.06619444;IDEAM;h
72;23195240;8.123416667;-73.57986111;IDEAM;h
73;23195501;7.099441667;-73.06638611;CENICAFE;5min
74;24015110;5.303805556;-73.85175;IDEAM;h
75;24015501;5.882777778;-73.57333056;CENICAFE;5min
76;24015502;6.088602778;-73.44859722;CENICAFE;5min
77;24015503;6.373027778;-73.20760833;CENICAFE;5min
78;24025501;6.493052778;-73.22111111;CENICAFE;5min
79;24035360;5.985416667;-72.99702778;IDEAM;h
80;24035370;6.50675;-72.45275;IDEAM;h
81;24035390;6.94539;-72.69633;IDEAM;h
82;24035430;5.74583;-73.11636;IDEAM;h
83;24035501;6.70155;-73.06749167;CENICAFE;5min
84;24055070;6.82339;-73.47206;IDEAM;h
85;24055080;6.98297;-73.70489;IDEAM;h
86;25025340;8.596833333;-75.14269444;IDEAM;h
87;26015010;2.474833056;-76.58129361;IDEAM;h
88;26015030;2.356848889;-76.40354444;IDEAM;h
89;26015040;2.448041111;-76.43574694;IDEAM;h
90;26035090;2.699175;-76.59544444;IDEAM;h
91;26035100;2.479555556;-76.82775;IDEAM;h
92;26035501;2.401941667;-76.73833056;CENICAFE;5min
93;26055100;3.416055556;-76.6515;IDEAM;h
94;26055110;3.185361111;-76.56930556;IDEAM;h
95;26055120;3.378;-76.53388889;IDEAM;h
96;26055501;3.738388889;-76.22083056;CENICAFE;5min
97;26065501;3.215580556;-76.68021944;CENICAFE;5min
98;26065502;2.750555556;-76.57916667;CENICAFE;5min
99;26075120;3.314055556;-76.18569444;IDEAM;h
100;26075501;3.291469444;-76.17735833;CENICAFE;5min
101;26085160;3.4255;-76.56061111;IDEAM;h
102;26085501;5.001330556;-75.998;CENICAFE;5min
103;26095320;3.360416667;-76.30000556;IDEAM;h
104;26105240;3.879111111;-76.10055556;IDEAM;h
105;26105250;4.689777778;-75.92519444;IDEAM;h
106;26115090;4.775583333;-76.14427778;IDEAM;h
107;26115501;4.213611111;-76.31497222;CENICAFE;5min
108;26125300;4.528305556;-75.59638889;IDEAM;h
109;26125501;4.204416667;-75.76866667;CENICAFE;5min
110;26125502;4.297558333;-75.86396111;CENICAFE;5min
111;26125503;4.285;-75.9025;CENICAFE;5min
112;26125504;4.395555556;-75.73416667;CENICAFE;5min
113;26125505;4.501111111;-75.67138889;CENICAFE;5min
114;26125506;4.518333333;-75.7925;CENICAFE;5min
115;26125507;4.671388889;-75.77721944;CENICAFE;5min
116;26125508;4.7475;-75.73805556;CENICAFE;5min
117;26125509;4.299444444;-75.72508056;CENICAFE;5min
118;26135290;4.929583333;-75.73838889;IDEAM;h
119;26135300;4.728583056;-75.57822222;IDEAM;h
120;26135310;4.846861111;-75.63563889;IDEAM;h
121;26135501;4.868333333;-75.79333333;CENICAFE;5min
122;26135502;4.911944444;-75.62416389;CENICAFE;5min
123;26135503;4.971944444;-75.65221944;CENICAFE;5min
124;26145090;5.207472222;-75.90294444;IDEAM;h
125;26145501;5.105055556;-75.93305556;CENICAFE;5min
126;26145504;5.325552778;-75.812775;CENICAFE;5min
127;26155230;5.08525;-75.50713889;IDEAM;h
128;26155240;4.859444444;-75.38241667;IDEAM;h
129;26155260;4.840666667;-75.36161111;IDEAM;h
130;26155502;4.991111111;-75.59749722;CENICAFE;5min
131;26155503;4.989722222;-75.58971944;CENICAFE;5min
132;26155505;5.070275;-75.68555278;CENICAFE;5min
133;26165501;5.433333333;-75.5;CENICAFE;5min
134;26165502;5.6;-75.84972222;CENICAFE;5min
135;26175501;5.45;-75.63305556;CENICAFE;5min
136;26175502;5.7;-75.65999722;CENICAFE;5min
137;26185030;5.799166667;-75.78952778;IDEAM;h
138;26185050;5.859583333;-75.55627778;IDEAM;h
139;26185501;5.677719444;-75.34780556;CENICAFE;5min
140;26195501;5.660108333;-75.91413889;CENICAFE;5min
141;26195502;5.868666667;-75.99044167;CENICAFE;5min
142;26205501;5.625830556;-75.70527778;CENICAFE;5min
143;26215501;6.042441667;-75.92149722;CENICAFE;5min
144;26255030;7.157222222;-75.442275;IDEAM;h
145;27015280;6.632027778;-75.64444444;IDEAM;h
146;27015290;6.286333333;-75.61279167;IDEAM;h
147;27015501;6.580958333;-75.11487778;CENICAFE;5min
148;28025120;10.02908333;-73.04619444;IDEAM;h
149;28025501;9.533055556;-73.18033056;CENICAFE;5min
150;28035070;10.73213889;-73.39241667;IDEAM;h
151;28045501;10.42;-73.57;CENICAFE;5min
152;29045150;7.746027778;-76.4325;IDEAM;h
153;29065120;10.46536111;-73.92777778;IDEAM;h
154;29065501;10.9;-74.08;CENICAFE;5min
155;32075501;3.51995;-74.08978611;CENICAFE;5min
156;35017020;4.103019444;-72.93638333;IDEAM;h
157;35020300;4.253916667;-74.00269444;IDEAM;h
158;35025080;4.661;-73.82733;IDEAM;h
159;35025090;4.664888889;-73.84663889;IDEAM;h
160;35025110;4.057361111;-73.46791667;IDEAM;h
161;35025501;4.297941667;-73.87238889;CENICAFE;5min
162;35035110;4.273861111;-73.58686111;IDEAM;h
163;35035130;4.713666667;-73.80325;IDEAM;h
164;35075070;5.21639;-73.34697;IDEAM;h
165;35075080;5.39239;-73.56278;IDEAM;h
166;35085060;5.294944444;-73.16994444;IDEAM;h
167;35085070;4.84125;-73.25669444;IDEAM;h
168;35085080;5.099194444;-73.436;IDEAM;h
169;35095120;5.55663;-72.88175;IDEAM;h
170;35185010;4.260361111;-72.56447222;IDEAM;h
171;35195050;5.407277778;-72.71722222;IDEAM;h
172;35260050;5.561361111;-70.28063889;IDEAM;h
173;36015020;5.816194444;-71.41983333;IDEAM;h
174;36015501;5.872219444;-72.11944167;CENICAFE;5min
175;37015030;7.187;-72.8685;IDEAM;h
176;37015501;7.296058333;-72.49772778;CENICAFE;5min
177;44015070;1.082888889;-76.66711111;IDEAM;h
178;44035040;1.733;-75.64502778;IDEAM;h
179;44035501;1.573819444;-75.3402;CENICAFE;5min
180;46015030;2.063;-74.76269444;IDEAM;h
181;47035030;-0.173722222;-74.89813889;IDEAM;h
182;48015040;-3.780305556;-70.36263889;IDEAM;h
183;51025060;1.408638889;-78.28161111;IDEAM;h
184;51025080;1.248333333;-78.0925;IDEAM;h
185;52015050;2.032777778;-77.22166667;IDEAM;h
186;52015501;2.125191667;-77.19266667;CENICAFE;5min
187;52025090;2.193833333;-76.75033333;IDEAM;h
188;52025501;2.092941667;-76.81202778;CENICAFE;5min
189;52035040;1.62;-77.34;IDEAM;h
190;52035501;1.615555556;-77.10971944;CENICAFE;5min
191;52055150;0.843111111;-77.38880556;IDEAM;h
192;52055160;0.846583333;-77.92122222;IDEAM;h
193;52055170;0.930305556;-77.49119444;IDEAM;h
194;52055210;1.16;-77.27880556;IDEAM;h
195;52055220;1.070707855;-77.63693569;IDEAM;h
