,Station,FreqInf
0,11025501,5min
1,11105020,
2,11115501,5min
3,11135030,
4,12015100,
5,12015110,
6,13085050,
7,15085050,
8,16015130,h
9,16015502,5min
10,16025501,5min
11,16025502,
12,16025503,
13,16035501,5min
14,16055120,
15,16055501,5min
16,21015040,h
17,21015050,
18,21015070,h
19,21015501,5min
20,21015502,
21,21035501,
22,21045501,5min
23,21055070,h
24,21055501,5min
25,21065501,5min
26,21085501,5min
27,21105501,5min
28,21115010,
29,21115170,
30,21115180,
31,21115501,5min
32,21165501,5min
33,21165502,5min
34,21185501,5min
35,21195160,h
36,21195170,h
37,21195190,h
38,21195501,
39,21205501,5min
40,21205502,5min
41,21205970,
42,21206790,
43,21206930,
44,21206950,h
45,21206990,h
46,21215160,
47,21215170,
48,21215190,h
49,21215501,5min
50,21255170,h
51,21255501,5min
52,22025501,5min
53,22045502,5min
54,22075050,h
55,23015501,5min
56,23025501,5min
57,23025502,
58,23055501,5min
59,23055502,5min
60,23065180,
61,23065190,h
62,23065501,5min
63,23065502,5min
64,23065503,5min
65,23085501,5min
66,23105070,h
67,23115010,
68,23125170,h
69,23125501,5min
70,23195040,h
71,23195190,
72,23195240,
73,23195501,5min
74,24015501,5min
75,24015502,5min
76,24015503,5min
77,24025501,5min
78,24035360,
79,24035370,h
80,24035390,h
81,24035430,h
82,24035501,5min
83,24055070,
84,24055080,h
85,25025340,h
86,26015030,
87,26035090,
88,26035100,
89,26035501,
90,26055100,
91,26055110,
92,26055120,
93,26055501,5min
94,26065501,5min
95,26065502,
96,26075120,
97,26075501,
98,26085160,h
99,26085501,5min
100,26095320,
101,26105240,
102,26105250,
103,26115090,
104,26115501,5min
105,26125300,h
106,26125501,
107,26125502,5min
108,26125503,
109,26125504,5min
110,26125505,5min
111,26125506,5min
112,26125507,
113,26125508,5min
114,26125509,5min
115,26135290,
116,26135300,
117,26135310,
118,26135501,5min
119,26135502,5min
120,26135503,5min
121,26145090,
122,26145501,5min
123,26145504,5min
124,26155230,
125,26155240,
126,26155260,h
127,26155502,5min
128,26155503,
129,26155505,5min
130,26165501,
131,26165502,5min
132,26175501,5min
133,26175502,5min
134,26185030,
135,26185050,
136,26185501,
137,26195501,5min
138,26195502,5min
139,26205501,5min
140,26215501,5min
141,26255030,
142,27015280,
143,27015290,h
144,27015501,5min
145,28025120,
146,28025501,5min
147,28035070,
148,28045501,5min
149,29045150,
150,29065120,h
151,29065501,
152,32075501,
153,35020300,
154,35025080,
155,35025110,
156,35025501,5min
157,35035110,h
158,35035130,
159,35075070,h
160,35075080,h
161,35085060,h
162,35085070,h
163,35085080,h
164,35095120,h
165,35185010,
166,35195050,
167,35260050,
168,36015020,
169,36015501,5min
170,37015030,
171,37015501,5min
172,44015070,h
173,44035040,
174,44035501,5min
175,47035030,
176,48015040,
177,51025060,
178,51025080,
179,52015050,h
180,52015501,5min
181,52025090,h
182,52025501,5min
183,52035501,5min
184,52055150,
185,52055160,h
186,52055170,h
187,52055210,h
188,52055220,
189,52055501,5min
190,52055502,5min
191,53075020,h
192,53115501,5min
193,53115502,5min
194,54035501,5min
195,55015010,
196,57025020,
197,3502500135,
198,3526500201,
