Unnamed: 0;Station;lat;long;entidad;FreqInf;Obsv_freq
0;11105020;7.154333333;-76.97719444;IDEAM;h;:27 al final
1;11135030;8.036722222;-77.08786111;IDEAM;h;
2;12015100;7.94075;-76.69616667;IDEAM;h;
3;12015110;7.671138889;-76.69405556;IDEAM;h;
4;13085050;9.252722222;-75.84441667;IDEAM;h;
5;15085050;12.08352778;-71.21094444;IDEAM;h;
6;16015120;7.360944444;-72.66605556;IDEAM;h;
7;21015050;1.925916667;-76.42755556;IDEAM;h;
8;21015060;2.221111111;-76.11888889;IDEAM;h;
9;21015070;1.675833;-76.106841;IDEAM;h;
10;21115010;3.234472222;-75.16819444;IDEAM;h;
11;21115180;3.133055556;-75.08152778;IDEAM;h;
12;21185090;4.188138889;-74.96047222;IDEAM;h;
13;21195170;3.993611111;-74.39805556;IDEAM;h;
14;21195190;4.307188889;-74.30839889;IDEAM;h;
15;21205480;5.033333333;-73.71666667;CAR;10min;
16;21205509;4.396667778;-74.6283125;CAR;10min;
17;21205511;5.001111111;-73.73333333;CAR;10min;
18;21205512;4.469316389;-74.07945417;CAR;10min;
19;21205513;4.504576667;-74.18418667;CAR;10min;
20;21205514;4.469316389;-74.07945417;CAR;10min;
21;21205515;4.700288889;-74.17378611;CAR;10min;
22;21205516;5.172694444;-73.85177778;CAR;10min;
23;21205517;4.788157222;-74.05005889;CAR;10min;
24;21205518;5.171361111;-74.01566667;CAR;10min;
25;21205519;4.452111111;-74.27228806;CAR;10min;
26;21205521;4.737809722;-73.93579389;CAR;10min;
27;21205522;4.918321667;-74.02864944;CAR;10min;
28;21205523;4.788157222;-74.05005889;CAR;10min;
29;21205524;5.07475;-74.05747222;CAR;10min;
30;21205525;5.228805556;-73.58475;CAR;10min;
31;21205526;4.690527778;-74.38905556;CAR;10min;
32;21205527;5.197944444;-73.80466667;CAR;10min;
33;21205970;5.0905;-73.88125;IDEAM;h;
34;21206790;5.0905;-73.88125;IDEAM;h;
35;21206930;5.08644;-74.02217;IDEAM;h;
36;21206950;5.236055556;-73.52508333;IDEAM;h;
37;21206980;4.784277778;-73.87080556;IDEAM;h;
38;21206990;4.68863;-74.20559;IDEAM;h;
39;21237060;4.633333333;-74.65;CAR;10min;
40;21255160;4.760722222;-74.83425;IDEAM;h;
41;23065160;5.016666667;-74.33333333;CAR;10min;
42;23065506;4.861390556;-74.40507944;CAR;10min;
43;23065507;5.123805556;-74.54361111;CAR;10min;
44;23085260;6.131916667;-75.41455556;IDEAM;h;
45;23105060;6.774111111;-74.79652778;IDEAM;h;
46;23195040;7.144722222;-73.12222222;IDEAM;h;
47;23195240;8.123416667;-73.57986111;IDEAM;h;
48;24015110;5.303805556;-73.85175;IDEAM;h;
49;24015507;5.392277778;-73.85422222;CAR;10min;
50;24015508;4.308111111;-74.28175;CAR;10min;
51;24015513;5.996694444;-73.67280833;ISAGEN;h;
52;24025050;6.274166667;-73.15055556;IDEAM;h;
53;24025090;6.47;-72.96888889;IDEAM;h;
54;24035390;6.94539;-72.69633;IDEAM;h;
55;24035430;5.74583;-73.11636;IDEAM;h;
56;24055070;6.82339;-73.47206;IDEAM;h;
57;24055080;6.98297;-73.70489;IDEAM;h;
58;25010010;7.890277778;-75.68;IDEAM;h;
59;25015020;7.931333333;-75.55405556;EP;h;
60;25025100;9.281944444;-74.84527778;IDEAM;h;
61;25025240;8.542694444;-74.62733306;IDEAM;h;
62;25025280;9.357083333;-75.28925;IDEAM;h;
63;25025340;8.596833333;-75.14269444;IDEAM;h;
64;26015040;2.448041111;-76.43574694;IDEAM;h;
65;26035100;2.479555556;-76.82775;IDEAM;h;
66;26055110;3.185361111;-76.56930556;IDEAM;h;
67;26095320;3.360416667;-76.30000556;IDEAM;h;
68;26105250;4.689777778;-75.92519444;IDEAM;h;
69;26135290;4.929583333;-75.73838889;IDEAM;h;
70;26135300;4.728583056;-75.57822222;IDEAM;h;
71;26145090;5.207472222;-75.90294444;IDEAM;h;
72;26225060;6.533916667;-75.82733333;IDEAM;h;
73;26255030;7.157222222;-75.442275;IDEAM;h;
74;27015280;6.632027778;-75.64444444;IDEAM;h;
75;27015320;6.78;-75.56;IDEAM;h;
76;28025120;10.02908333;-73.04619444;IDEAM;h;
77;29015040;9.72;-75.11;IDEAM;h;
78;29045150;7.746027778;-76.4325;IDEAM;h;
79;29065130;10.85;-74.13333333;IDEAM;h;
80;35020300;4.253916667;-74.00269444;IDEAM;h;
81;35025110;4.057361111;-73.46791667;IDEAM;h;
82;35025502;4.559661944;-73.99972222;CAR;10min;
83;35035130;4.713666667;-73.80325;IDEAM;h;
84;35075070;5.21639;-73.34697;IDEAM;h;
