,Fecha,consec_group
0,2021-02-18 12:00:00,1
1,2021-02-18 13:00:00,1
2,2021-02-18 14:00:00,1
3,2021-02-18 15:00:00,1
4,2021-02-18 16:00:00,1
5,2021-02-18 17:00:00,1
6,2021-02-18 18:00:00,1
18,2021-02-19 06:00:00,1
19,2021-02-19 07:00:00,1
20,2021-02-19 08:00:00,1
21,2021-02-19 09:00:00,1
22,2021-02-19 10:00:00,1
23,2021-02-19 11:00:00,1
24,2021-02-19 12:00:00,1
25,2021-02-19 13:00:00,1
26,2021-02-19 14:00:00,1
27,2021-02-19 15:00:00,1
28,2021-02-19 16:00:00,1
29,2021-02-19 17:00:00,1
30,2021-02-24 10:00:00,2
31,2021-02-24 11:00:00,2
32,2021-02-24 12:00:00,2
33,2021-02-24 13:00:00,2
34,2021-02-24 18:00:00,3
57,2021-09-30 09:00:00,3
58,2021-09-30 10:00:00,3
59,2021-09-30 11:00:00,3
60,2021-09-30 12:00:00,3
61,2021-09-30 13:00:00,3
62,2021-09-30 14:00:00,3
63,2021-09-30 15:00:00,3
64,2021-09-30 16:00:00,3
65,2021-09-30 17:00:00,3
66,2021-09-30 18:00:00,3
78,2021-10-01 06:00:00,3
79,2021-10-01 07:00:00,3
80,2021-10-01 08:00:00,3
81,2021-10-01 09:00:00,3
82,2021-10-01 10:00:00,3
83,2021-10-01 11:00:00,3
84,2021-10-01 12:00:00,3
85,2021-10-01 13:00:00,3
86,2021-10-01 14:00:00,3
87,2021-10-01 15:00:00,3
88,2021-10-01 16:00:00,3
89,2021-10-01 17:00:00,3
90,2021-10-01 18:00:00,3
102,2021-10-02 06:00:00,3
103,2021-10-02 07:00:00,3
104,2021-10-02 08:00:00,3
105,2021-10-02 09:00:00,3
106,2021-10-02 10:00:00,3
107,2021-10-02 11:00:00,3
108,2021-10-02 12:00:00,3
109,2021-10-02 13:00:00,3
110,2021-10-02 14:00:00,3
111,2021-10-02 15:00:00,3
112,2021-10-02 16:00:00,3
113,2021-10-02 17:00:00,3
114,2021-10-02 18:00:00,3
126,2021-10-03 06:00:00,3
127,2021-10-03 07:00:00,3
128,2021-10-03 08:00:00,3
129,2021-10-03 09:00:00,3
130,2021-10-03 10:00:00,3
131,2021-10-03 11:00:00,3
132,2021-10-03 12:00:00,3
133,2021-10-03 13:00:00,3
134,2021-10-03 14:00:00,3
135,2021-10-03 15:00:00,3
136,2021-10-03 16:00:00,3
137,2021-10-03 17:00:00,3
138,2021-10-03 18:00:00,3
150,2021-10-04 06:00:00,3
151,2021-10-04 07:00:00,3
152,2021-10-04 08:00:00,3
153,2021-10-04 09:00:00,3
154,2021-10-04 10:00:00,3
155,2021-10-04 11:00:00,3
156,2021-10-04 12:00:00,3
157,2021-10-04 13:00:00,3
158,2021-10-04 14:00:00,3
159,2021-10-04 15:00:00,3
160,2021-10-04 16:00:00,3
161,2021-10-04 17:00:00,3
162,2021-10-04 18:00:00,3
174,2021-10-05 06:00:00,3
175,2021-10-05 07:00:00,3
177,2021-10-05 09:00:00,3
178,2021-10-05 10:00:00,3
179,2021-10-05 11:00:00,3
180,2021-10-05 12:00:00,3
