,Station,FreqInf
0,11105020,
1,11135030,h
2,12015100,
3,12015110,
4,13085050,
5,15085050,
6,16015120,
7,21015050,
8,21015060,
9,21015070,h
10,21115010,
11,21115180,h
12,21185090,
13,21195170,h
14,21195190,h
15,21205480,
16,21205509,
17,21205511,
18,21205512,
19,21205513,10min
20,21205514,10min
21,21205515,
22,21205516,
23,21205517,
24,21205518,
25,21205519,
26,21205521,
27,21205522,
28,21205523,10min
29,21205524,10min
30,21205525,
31,21205526,10min
32,21205527,
33,21205970,
34,21206790,
35,21206930,
36,21206950,h
37,21206980,
38,21206990,
39,21237060,
40,21255160,
41,23065160,
42,23065506,
43,23065507,
44,23085260,h
45,23105060,
46,23195040,h
47,23195240,
48,24015110,
49,24015507,
50,24015508,
51,24015513,
52,24025050,
53,24025090,
54,24035390,h
55,24035430,
56,24055070,
57,24055080,
58,25010010,
59,25015020,
60,25025100,
61,25025240,
62,25025280,
63,25025340,h
64,26015040,
65,26035100,
66,26055110,
67,26095320,
68,26105250,
69,26135290,
70,26135300,
71,26145090,
72,26225060,
73,26255030,
74,27015280,
75,27015320,
76,28025120,
77,29015040,
78,29045150,
79,29065130,h
80,35020300,
81,35025110,
82,35025502,
83,35035130,h
84,35075070,h
85,35075080,h
86,35075090,
87,35095120,
88,35185010,
89,35215020,
90,35260050,
91,36015020,
92,37015030,
93,47035030,
94,48015040,
95,51025060,h
96,51025090,
97,52025080,
98,52035040,h
99,52050060,h
100,52050080,
101,52050090,
102,52055090,
103,52055150,
104,52055160,
105,52055210,h
106,52055220,h
107,53075020,
108,55015010,
109,57025020,
110,3526500201,
