OBJECTID;CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA;CORRIENTE;altitudDEM;ID_REG;LimSup;LimSupD_PT;NThsnPol
1;4801700102;VALENCIA [4801700102];Limnimétrica;Convencional;14/09/2017 0:00:00;98;-3.802500000;-70.322888888999998;Amazonas;Puerto Nariño;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;71;26;287.5;264.542489049999972;T1553
2;48017010;LETICIA [48017010];Limnigráfica;Convencional;15/05/1986 0:00:00;120;-4.222527778;-69.942722219999993;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;77;26;287.5;224.912505799999991;T1330
3;48017030;NAZARETH [48017030];Limnimétrica;Convencional;15/11/1987 0:00:00;119;-4.120194444;-70.036083329999997;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;71;26;287.5;224.912505799999991;T1330
4;4801700101;PUERTO TRIUNFO [4801700101];Limnimétrica;Convencional;14/09/2017 0:00:00;94;-3.955666667;-70.166583333000005;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;74;26;287.5;264.542489049999972;T1553
5;47107030;SANTA LUCIA [47107030];Limnimétrica;Convencional;15/08/1994 0:00:00;72;-2.864805556;-69.831694440000007;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Cotuhe;Cotuhe;67;26;287.5;229.724551999999989;T1329
6;47100020;SANTA LUCIA [47100020];Pluviométrica;Convencional;15/08/1994 0:00:00;72;-2.864805556;-69.831694443999993;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Cotuhe;Cotuhe;67;26;287.5;229.724551999999989;T1329
7;47107010;TARAPACA [47107010];Limnimétrica;Convencional;15/05/1986 0:00:00;98;-2.894722222;-69.735555559999995;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;60;26;287.5;229.724551999999989;T1329
8;47100010;TARAPACA [47100010];Pluviométrica;Convencional;15/05/1986 0:00:00;100;-2.894722222;-69.735694444000004;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;60;26;287.5;229.724551999999989;T1329
9;47067020;ESTRECHO-MARANDUA [47067020];Limnimétrica;Convencional;15/04/1986 0:00:00;120;-2.443972222;-72.672777780000004;Amazonas;Puerto Arica;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;102;26;287.5;263.529314095000018;T1327
10;47087010;ARICA - R. PUTUMAYO [47087010];Pluviométrica;Convencional;15/05/1986 0:00:00;115;-2.146888889;-71.752222219999993;Amazonas;Puerto Arica;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;95;26;287.5;155.25;T1328
11;47047040;SAN AGUSTIN [47047040];Limnimétrica;Convencional;15/04/1986 0:00:00;125;-1.610027778;-73.485527779999998;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);Putumayo;0;26;287.5;263.505185830000016;T1326
12;47057010;SAN RAFAEL [47057010];Limnimétrica;Convencional;15/04/1986 0:00:00;125;-1.688666667;-73.239750000000001;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Cará-Paraná;Cara Parana;121;26;287.5;263.505185830000016;T1326
13;47067010;ENCANTO EL [47067010];Limnimétrica;Convencional;15/04/1986 0:00:00;120;-1.771555556;-73.197138889000001;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;121;26;287.5;263.529314095000018;T1327
14;47040050;SAN AGUSTIN [47040050];Pluviométrica;Convencional;15/04/1986 0:00:00;125;-1.610694444;-73.484833330000001;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);;0;26;287.5;263.505185830000016;T1326
15;47060010;EL ENCANTO [47060010];Pluviométrica;Convencional;14/04/1986 0:00:00;120;-1.748510000;-73.205166667;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;123;26;287.5;263.505185830000016;T1326
16;47075010;LA CHORRERA [47075010];Climática Principal;Convencional;15/06/1986 0:00:00;160;-1.444611111;-72.789583332999996;Amazonas;La Chorrera;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Igará-Paraná;;112;26;287.5;263.505185830000016;T1326
