;OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INST;FECHA_SUSP;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERA;ENTIDAD;AREA_HIDRO;ZONA_HIDRO;SUBZONA_HI;altitudDEM;ID_REG;LimSupRPH;StationRPH;LimSupThsn;NThsnPol;LimInfTemp;LimSupTemp
0;1;4801700100;VALENCIA [4801700102];Limnimétrica;Convencional;Activa;14/09/2017; ;98;-3.8025;-70.322889;Amazonas;Puerto Nariño;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);71;26;287.5;48015040;264.54248905;T1553;15.443353994490359;47.74264705882353
1;2;48015050;AEROPUERTO VASQUEZ COBO [48015050];Sinóptica Principal;Automática con Telemetría. Convencional;Activa;22/07/2009; ;84;-4.193861;-69.940917;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);82;26;287.5;48015050;224.9125058;T1330;15.34865702479339;47.669117647058826
2;3;48017010;LETICIA [48017010];Limnigráfica;Convencional;Activa;15/05/1986; ;120;-4.222528;-69.942722;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);77;26;287.5;48015050;224.9125058;T1330;15.391701101928374;47.70254010695187
3;4;48017030;NAZARETH [48017030];Limnimétrica;Convencional;Activa;15/11/1987; ;119;-4.120194;-70.036083;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);71;26;287.5;48015050;224.9125058;T1330;15.443353994490359;47.74264705882353
4;5;4801700100;PUERTO TRIUNFO [4801700101];Limnimétrica;Convencional;Activa;14/09/2017; ;94;-3.955667;-70.166583;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);74;26;287.5;48015040;264.54248905;T1553;15.443353994490359;47.74264705882353
5;6;47100020;SANTA LUCIA [47100020];Pluviométrica;Convencional;Activa;15/08/1994; ;72;-2.864806;-69.831694;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Cotuhe;67;26;287.5;47100010;229.724552;T1329;15.477789256198347;47.76938502673797
6;7;47107030;SANTA LUCIA [47107030];Limnimétrica;Convencional;Activa;15/08/1994; ;72;-2.864806;-69.831694;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Cotuhe;67;26;287.5;47100010;229.724552;T1329;15.477789256198347;47.76938502673797
7;8;47100010;TARAPACA [47100010];Pluviométrica;Convencional;Activa;15/05/1986; ;100;-2.894722;-69.735694;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;60;26;287.5;47100010;229.724552;T1329;15.53805096418733;47.81617647058824
8;9;47107010;TARAPACA [47107010];Limnimétrica;Convencional;Activa;15/05/1986; ;98;-2.894722;-69.735556;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;60;26;287.5;47100010;229.724552;T1329;15.53805096418733;47.81617647058824
9;10;47067020;ESTRECHO-MARANDUA [47067020];Limnimétrica;Convencional;Activa;15/04/1986; ;120;-2.443972;-72.67277799999998;Amazonas;Puerto Arica;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;102;26;287.5;47067010;263.529314095;T1327;15.176480716253444;47.535427807486634
10;11;47087010;ARICA - R. PUTUMAYO [47087010];Pluviométrica;Convencional;Activa;15/05/1986; ;115;-2.146889;-71.752222;Amazonas;Puerto Arica;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;95;26;287.5;47087010;155.25;T1328;15.236742424242426;47.5822192513369
11;12;47040050;SAN AGUSTIN [47040050];Pluviométrica;Convencional;Activa;15/04/1986; ;125;-1.610694;-73.48483299999998;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);0;26;287.5;47060010;263.50518583;T1326;16.054579889807165;48.217245989304814
12;13;47047040;SAN AGUSTIN [47047040];Limnimétrica;Convencional;Activa;15/04/1986; ;125;-1.610028;-73.485528;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);0;26;287.5;47060010;263.50518583;T1326;16.054579889807165;48.217245989304814
13;14;47057010;SAN RAFAEL [47057010];Limnimétrica;Convencional;Activa;15/04/1986; ;125;-1.688667;-73.23975;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Cará-Paraná;121;26;287.5;47060010;263.50518583;T1326;15.012913223140497;47.40842245989305
14;15;47060010;EL ENCANTO [47060010];Pluviométrica;Convencional;Activa;14/04/1986; ;120;-1.74851;-73.205167;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;123;26;287.5;47060010;263.50518583;T1326;14.995695592286504;47.39505347593583
15;16;47067010;ENCANTO EL [47067010];Limnimétrica;Convencional;Activa;15/04/1986; ;120;-1.771556;-73.197139;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Bajo;121;26;287.5;47067010;263.529314095;T1327;15.012913223140497;47.40842245989305
16;17;47075010;LA CHORRERA [47075010];Climática Principal;Convencional;Activa;15/06/1986; ;160;-1.444611;-72.78958299999998;Amazonas;La Chorrera;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Igará-Paraná;112;26;287.5;47060010;263.50518583;T1326;15.090392561983473;47.468582887700535
17;18;44157040;MANACARO [44157040];Limnimétrica;Convencional;Activa;15/04/1984; ;109;-1.53;-70.18;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;64;26;287.5;44157040;172.5;T1298;15.50361570247934;47.7894385026738
18;19;47047020;PUERTO TOLOZA [47047020];Limnimétrica;Convencional;Activa;15/04/1986; ;135;-1.0495;-74.0685;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);148;26;287.5;47047020;256.1488656;T1325;14.780475206611571;47.227941176470594
19;20;47040040;REMOLINO [47040040];Pluviométrica;Convencional;Activa;15/04/1986; ;130;-1.258944;-73.618944;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);140;26;287.5;47040040;172.5;T1323;14.849345730027549;47.281417112299465
20;21;44167010;QUINCHE [44167010];Limnimétrica;Convencional;Activa;15/04/1984; ;125;-0.932361;-71.776583;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;92;26;287.5;44150010;171.2104705;T1295;15.262568870523417;47.60227272727273
21;22;44167020;SANTA ISABEL [44167020];Limnimétrica;Convencional;Activa;15/04/1984; ;118;-1.098083;-71.124056;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;86;26;287.5;44167020;200.8889276;T1299;15.314221763085401;47.64237967914439
22;23;44157020;MIRANAS LAS [44157020];Limnimétrica;Convencional;Activa;15/04/1984; ;116;-1.31;-70.82;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;93;26;287.5;44157020;223.59010355;T1296;15.253960055096421;47.59558823529412
23;24;44157030;MARIA MANTECA [44157030];Limnimétrica;Convencional;Activa;15/04/1984; ;114;-1.42;-70.61;Amazonas;Mirití-Paraná (Campoamor);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;73;26;287.5;44157030;178.17492225;T1297;15.426136363636365;47.729278074866315
24;25;44180020;LA PEDRERA [44180020];Pluviométrica;Convencional;Activa;01/05/1984; ;102;-1.31325;-69.591528;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;65;26;287.5;44187020;178.2359332;T1301;15.495006887052343;47.782754010695186
25;26;44187020;PEDRERA LA [44187020];Pluviométrica;Convencional;Activa;15/05/1984; ;102;-1.313167;-69.591583;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;61;26;287.5;44187020;178.2359332;T1301;15.529442148760332;47.80949197860963
26;27;44187030;BACURI [44187030];Limnimétrica;Convencional;Activa;15/05/1984; ;101;-1.23;-69.47;Amazonas;La Pedrera;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;100;26;287.5;44187030;157.5210982;T1302;15.19369834710744;47.548796791443856
27;28;47017190;BELLAVISTA [47017190];Limnimétrica;Convencional;Activa;18/08/2007; ;185;-0.387694;-74.579333;Putumayo;Puerto Leguízamo;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);173;26;287.5;47040020;235.6124485;T1322;14.56525482093664;47.06082887700535
28;29;47040020;EL REFUGIO [47040020];Pluviométrica;Convencional;Activa;15/04/1986; ;140;-0.559167;-74.386667;Amazonas;Puerto Alegría;Area Operativa 07 - Nariño-Putumayo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Putumayo;Río Putumayo Directos (mi);159;26;287.5;47040020;235.6124485;T1322;14.685778236914603;47.154411764705884
29;30;44127010;ESTRECHOS LOS [44127010];Limnimétrica;Convencional;Activa;15/04/1984; ;139;-0.49;-73.53;Caqueta;Solano;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Medio;141;26;287.5;44127010;229.3046525;T1291;14.840736914600551;47.274732620320854
30;31;44137070;MONOCHOA [44137070];Limnimétrica;Convencional;Activa;15/04/1984; ;133;-0.7;-72.549997;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Caqueta Bajo;131;26;287.5;44137070;172.5;T1294;14.926825068870524;47.341577540106954
