CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;FECHA_SUSPENSION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;ENTIDAD;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA;CORRIENTE;OBSERVACION;SUBRED
26225030;COTOVE HACIENDA [26225030];Agrometeorológica;Convencional;Activa;15/04/1975;;534;6.5339166670;-75.8273333330;Antioquia;Santa Fe De Antioquia;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cauca;Directos Río Cauca entre Río San Juan y Pto Valdia;;24/01/2022$Migracion$Por Solicitud del Coordinador del AO 01. Activación de la estación Cotove Hacienda 26225030 la cuál aparece suspendida y contiene todo el histórico de información meteorológica desde 1975.;
12015020;UNIBAN [12015020];Agrometeorológica;Convencional;Activa;15/08/1977;;43;7.8259166670;-76.65133333;Antioquia;Apartadó;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Caribe - Litoral;Río León;;;Córdoba, Sucre, Sur de Bolívar, Urabá y Bajo Cauca Antioqueño ,RED ALERTAS - AREA OPERATIVA 01
27015260;SALADA LA [27015260];Agrometeorológica;Convencional;Activa;15/07/1984;;1923;6.0483611110;-75.62466667;Antioquia;Caldas;Area Operativa 01 - Antioquia-Chocó;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Nechí;Río Porce;;;RED ALERTAS - AREA OPERATIVA 01,Zona cafetera
24035330;BOAVITA [24035330];Agrometeorológica;Convencional;Activa;15/08/1978;;2150;6.3289722220;-72.58227778;Boyacá;Boavita;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Sogamoso;Río Chicamocha;;;Altiplano Cundiboyacense,Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 06
24035120;SURBATA BONZA [24035120];Agrometeorológica;Convencional;Activa;15/03/1944;;2485;5.8024444440;-73.07447222;Boyacá;Duitama;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Sogamoso;Río Chicamocha;;;Radición Global,RED ALERTAS - AREA OPERATIVA 06,Altiplano Cundiboyacense,Radiación Visible,Radiación Ultravioleta,Altiplano Cundiboyacense y oriente de Santander
35075010;NUEVO COLON [35075010];Agrometeorológica;Convencional;Activa;15/08/1965;;2438;5.3526944440;-73.45377778;Boyacá;Nuevo Colón;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Orinoco;Meta;Río Garagoa;;;RED ALERTAS - AREA OPERATIVA 06,Altiplano Cundiboyacense y oriente de Santander
24035430;TUNGUAVITA - AUT [24035430];Agrometeorológica;Automática con Telemetría, Convencional;Activa;15/12/2004;;2521;5.745830;-73.116360;Boyacá;Paipa;Area Operativa 06 - Boyacá-Casanare-Vichada;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Sogamoso;Río Chicamocha;;Actualizada Tecnologia y Tipo de Transmision por solicitud del coordinador del AO.(07/02/2023);Altiplano Cundiboyacense,Altiplano Cundiboyacense y oriente de Santander,Radiación Ultravioleta,Radiación Visible,Radición Global,RED ALERTAS - AREA OPERATIVA 06
44035030;MACAGUAL [44035030];Agrometeorológica;Convencional;Activa;15/02/1971;;280;1.50;-75.66;Caqueta;Florencia;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Amazonas;Caquetá;Río Orteguaza;;Estacion Homologada con MACAGUAL-AUT [44035050]. Datos Transferidos desde 15/02/1971.;
28025070;MOTILONIA CODAZZI [28025070];Agrometeorológica;Convencional;Activa;15/01/1956;;180;10.00180556;-73.24938889;Cesar;Agustín Codazzi;Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Cesar;Medio Cesar;;;Radiación Visible,Radición Global,Radiación Ultravioleta,Norte de Cesar y La Guajira
13075050;UNIV DE CORDOBA [13075050];Agrometeorológica;Convencional;Activa;15/06/1979;;15;8.7938888890;-75.86152778;Cordoba;Montería;Area Operativa 02 - Atlántico-Bolivar-Sucre;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Caribe;Sinú;Bajo Sinú;;;
21205420;TIBAITATA [21205420];Agrometeorológica;Automática con Telemetría, Convencional;Activa;15/03/1954;;2543;4.6914166670;-74.2090;Cundinamarca;Mosquera;Area Operativa 11 - Cundinamarca-Amazonas;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Río Bogotá;;16/08/2022$Migracion$Esta estación [21205420] contiene la información automática de la estación de código [21206990]. Producto de un proceso de homologación entre las dos estaciones|30/08/2022$Migracion$16/08/2022$Migracion$Esta estación [21205420] contiene la información automática de la estación de código [21206990]. Producto de un proceso de homologación entre las dos estaciones|11/09/2022$Migracion$16/08/2022$Migracion$Esta estación [21205420] contiene la información automática de la estación de código [21206990]. Producto de un proceso de homologación entre las dos estaciones|30/08/2022$Migracion$16/08/2022$Migracion$Esta estación [21205420] contiene la información automática de la estación de código [21206990]. Producto de un proceso de homologación entre las dos estaciones;Radición Global,Radiación Visible,Radiación Ultravioleta,Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 11,Altiplano Cundiboyacense
21115160;HACIENDA MANILA [21115160];Agrometeorológica;Convencional;Activa;01/05/1978;;600;3.1330558330;-75.0815280560;Huila;Baraya;Area Operativa 04 - Huila-Caquetá;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Cauca;Alto Magdalena;Rio Fortalecillas y otros;;;
